Day,Date,Open,High,Low,Close,Volume
Thu,3/2/2023,46.138,46.138,45.683,45.753,0
Wed,3/1/2023,46.73,46.869,46.45,46.45,0
Tue,2/28/2023,46.662,46.907,46.662,46.767,0
Mon,2/27/2023,46.874,46.944,46.767,46.767,0
Fri,2/24/2023,47.973,47.973,46.855,46.855,0
Thu,2/23/2023,49.214,49.249,48.376,48.376,0
Wed,2/22/2023,49.86,49.86,49.057,49.126,0
Tue,2/21/2023,51.589,51.589,49.948,49.948,0
Fri,2/17/2023,52.482,52.482,51.922,51.922,0
Thu,2/16/2023,52.363,52.676,52.293,52.606,0
Wed,2/15/2023,52.083,52.256,51.854,52.256,0
Tue,2/14/2023,51.999,52.034,51.857,51.961,0
Mon,2/13/2023,52.122,52.122,51.806,51.91,0
Fri,2/10/2023,53.317,53.317,52.299,52.299,0
Thu,2/9/2023,54.686,54.721,53.736,53.736,0
Wed,2/8/2023,54.74,54.846,54.632,54.632,0
Tue,2/7/2023,54.858,54.858,54.542,54.823,0
Mon,2/6/2023,55.384,55.384,54.928,55.068,0
Fri,2/3/2023,54.839,55.505,54.839,55.47,0
Thu,2/2/2023,52.896,54.772,52.896,54.772,0
Wed,2/1/2023,49.877,51.983,49.877,51.983,0
Tue,1/31/2023,49.21,49.719,49.139,49.719,0
Mon,1/30/2023,49.35,49.491,49.28,49.28,0
Fri,1/27/2023,48.156,49.28,48.156,49.245,0
Thu,1/26/2023,47.542,47.982,47.542,47.982,0
Wed,1/25/2023,47.226,47.226,46.753,47.034,0
Tue,1/24/2023,47.352,47.509,47.282,47.439,0
Mon,1/23/2023,45.266,47.211,45.266,47.211,0
Fri,1/20/2023,44.814,45.04,44.744,45.04,0
Thu,1/19/2023,45.674,45.674,44.799,44.799,0
Wed,1/18/2023,45.292,45.992,45.117,45.852,0
Tue,1/17/2023,43.927,44.752,43.927,44.752,0
Fri,1/13/2023,42.122,43.597,41.947,43.597,0
Thu,1/12/2023,40.28,41.681,40.14,41.681,0
Wed,1/11/2023,38.2,40.056,38.2,40.056,0
Tue,1/10/2023,37.242,38.012,37.207,38.012,0
Mon,1/9/2023,35.444,37.299,35.444,37.229,0
Fri,1/6/2023,34.162,34.757,33.742,34.757,0
Thu,1/5/2023,33.707,33.882,33.637,33.882,0
Wed,1/4/2023,33.123,33.508,32.983,33.473,0
