Day,Date,Open,High,Low,Close,Volume
Thu,3/2/2023,35,35,34,34,0
Wed,3/1/2023,35,38,35,37,0
Tue,2/28/2023,35,36,35,36,0
Mon,2/27/2023,33,35,33,35,0
Fri,2/24/2023,33,34,33,33,0
Thu,2/23/2023,36,36,33,33,0
Wed,2/22/2023,38,38,36,36,0
Tue,2/21/2023,45,45,39,39,0
Fri,2/17/2023,52,52,48,48,0
Thu,2/16/2023,51,52,51,52,0
Wed,2/15/2023,53,54,53,54,0
Tue,2/14/2023,52,52,51,51,0
Mon,2/13/2023,52,52,51,52,0
Fri,2/10/2023,58,58,52,52,0
Thu,2/9/2023,66,66,61,61,0
Wed,2/8/2023,68,68,66,66,0
Tue,2/7/2023,68,68,66,67,0
Mon,2/6/2023,73,73,70,70,0
Fri,2/3/2023,74,75,74,75,0
Thu,2/2/2023,73,74,72,74,0
Wed,2/1/2023,67,73,67,73,0
Tue,1/31/2023,67,67,67,67,0
Mon,1/30/2023,67,67,67,67,0
Fri,1/27/2023,63,68,63,68,0
Thu,1/26/2023,61,64,61,63,0
Wed,1/25/2023,62,62,59,60,0
Tue,1/24/2023,62,62,62,62,0
Mon,1/23/2023,56,62,56,62,0
Fri,1/20/2023,55,56,55,56,0
Thu,1/19/2023,57,57,55,55,0
Wed,1/18/2023,55,60,54,58,0
Tue,1/17/2023,52,54,52,54,0
Fri,1/13/2023,50,53,50,53,0
Thu,1/12/2023,52,52,50,50,0
Wed,1/11/2023,48,52,47,52,0
Tue,1/10/2023,46,47,46,47,0
Mon,1/9/2023,41,47,41,47,0
Fri,1/6/2023,35,35,32,35,0
Thu,1/5/2023,37,37,35,35,0
Wed,1/4/2023,36,38,35,38,0
Tue,1/3/2023,30,35,30,35,0
Fri,12/30/2022,28,28,28,28,0
Thu,12/29/2022,26,28,26,28,0
Wed,12/28/2022,26,26,25,26,0
Tue,12/27/2022,27,27,25,26,0
Fri,12/23/2022,27,27,27,27,0
Thu,12/22/2022,29,29,27,27,0
Wed,12/21/2022,29,29,29,29,0
Tue,12/20/2022,30,30,29,29,0
Mon,12/19/2022,45,45,34,34,0
Fri,12/16/2022,54,54,45,45,0
