Day,Date,Open,High,Low,Close,Volume
Tue,3/1/22,40.512,41.401,40.512,40.512,0
Mon,2/28/22,38.494,40.313,38.494,40.313,0
Fri,2/25/22,36.211,38.148,36.211,38.148,0
Thu,2/24/22,37.52,37.938,35.897,36.002,0
Wed,2/23/22,44.822,44.822,42.678,42.678,0
Tue,2/22/22,47.256,47.256,44.799,44.851,0
Fri,2/18/22,48.88,48.984,47.837,47.837,0
Thu,2/17/22,50.964,50.964,49.297,49.349,0
Wed,2/16/22,50.808,50.964,50.651,50.964,0
Tue,2/15/22,50.547,50.808,50.547,50.756,0
Mon,2/14/22,51.798,51.85,50.651,50.651,0
Fri,2/11/22,52.84,53.205,51.823,51.823,0
Thu,2/10/22,51.954,53.101,51.954,52.788,0
Wed,2/9/22,48.932,52.006,48.932,52.006,0
Tue,2/8/22,46.094,48.073,46.094,48.073,0
Mon,2/7/22,45.365,46.198,45.365,46.198,0
Fri,2/4/22,45.417,45.469,45.052,45.445,0
Thu,2/3/22,45.516,45.677,45.464,45.521,0
Wed,2/2/22,44.421,45.412,44.421,45.412,0
Tue,2/1/22,40.876,44.004,40.876,44.004,0
Mon,1/31/22,35.677,39.792,35.677,39.792,0
Fri,1/28/22,36.979,36.979,34.844,35.104,0
Thu,1/27/22,38.438,38.542,37.031,37.031,0
Wed,1/26/22,38.802,39.115,38.438,38.438,0
Tue,1/25/22,38.958,38.958,38.594,38.75,0
Mon,1/24/22,41.801,41.801,38.834,38.938,0
Fri,1/21/22,47.607,47.711,44.121,44.121,0
Thu,1/20/22,50.598,50.598,48.622,48.622,0
Wed,1/19/22,51.819,51.819,50.597,50.597,0
Tue,1/18/22,54.106,54.106,51.923,51.923,0
Fri,1/14/22,56.497,56.497,54.522,54.574,0
Thu,1/13/22,56.913,57.121,56.861,56.861,0
Wed,1/12/22,56.601,56.965,56.549,56.965,0
Tue,1/11/22,55.197,56.081,55.146,56.081,0
Mon,1/10/22,57.069,57.069,55.042,55.042,0
Fri,1/7/22,58.472,58.628,57.9,57.9,0
Thu,1/6/22,58.68,58.732,58.264,58.368,0
Wed,1/5/22,59.178,60.062,59.096,59.096,0
Tue,1/4/22,57.076,59.126,57.076,59.074,0
Mon,1/3/22,54.971,56.243,54.971,56.243,0
Fri,12/31/21,54.503,54.815,54.503,54.763,0
Thu,12/30/21,52.993,54.451,52.941,54.451,0
Wed,12/29/21,52.135,52.941,52.135,52.941,0
Tue,12/28/21,50.313,52.135,50.313,52.031,0
Mon,12/27/21,47.969,50,47.969,50,0
Thu,12/23/21,45.445,47.736,45.445,47.736,0
Wed,12/22/21,43.259,45.029,43.259,45.029,0
Tue,12/21/21,41.51,43.155,41.51,43.155,0
Mon,12/20/21,45.128,45.128,41.146,41.354,0
Fri,12/17/21,47.967,48.019,46.927,46.927,0
Thu,12/16/21,48.175,49.062,48.175,48.384,0
Wed,12/15/21,49.035,49.035,47.549,47.915,0
Tue,12/14/21,49.713,49.922,49.113,49.113,0
Mon,12/13/21,50.651,50.703,50.052,50.104,0
Fri,12/10/21,50.783,50.783,50.574,50.651,0
Thu,12/9/21,50.313,50.522,50.313,50.522,0
Wed,12/8/21,48.956,50.131,48.956,50.131,0
Tue,12/7/21,46.291,49.007,46.291,49.007,0
Mon,12/6/21,43.678,45.82,43.574,45.82,0
Fri,12/3/21,44.352,44.508,43.305,43.305,0
Thu,12/2/21,44.195,44.247,43.619,44.142,0
Wed,12/1/21,46.914,46.966,44.613,44.77,0
Tue,11/30/21,50.967,50.967,46.89,46.89,0
Mon,11/29/21,52.274,52.274,51.647,51.647,0
Fri,11/26/21,56.142,56.142,52.222,52.222,0
