time,open,high,low,close,Chars,EMA,EMA2,EMA3,Volume,%K,%D,Shapes,Shapes,Shapes,Histogram,MACD,Signal
2002-01-02,57.97,57.97,57.97,57.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-03,61.65,61.65,61.65,61.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-04,63.57,63.57,63.57,63.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-07,62.73,62.73,62.73,62.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-08,63.35,63.35,63.35,63.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-09,62.57,62.57,62.57,62.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-10,62.83,62.83,62.83,62.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-11,61.79,61.79,61.79,61.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-14,59.9,59.9,59.9,59.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-15,60.66,60.66,60.66,60.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-16,57.63,57.63,57.63,57.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-17,59.26,59.26,59.26,59.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-18,56.95,56.95,56.95,56.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-22,55.18,55.18,55.18,55.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-23,57.03,57.03,57.03,57.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-24,57.78,57.78,57.78,57.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-25,57.59,57.59,57.59,57.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-28,57.59,57.59,57.59,57.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-29,54.29,54.29,54.29,54.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-30,55.84,55.84,55.84,55.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-31,57.33,57.33,57.33,57.33,NaN,59.21380952380952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-02-01,56.61,56.61,56.61,56.61,NaN,58.977099567099565,NaN,NaN,NaN,16,10,NaN,NaN,NaN,NaN,NaN,NaN
2002-02-04,53.28,53.28,53.28,53.28,NaN,58.459181424635965,NaN,NaN,NaN,5,6,NaN,NaN,NaN,NaN,NaN,NaN
2002-02-05,52.36,52.36,52.36,52.36,NaN,57.9047103860327,NaN,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN
2002-02-06,50.63,50.63,50.63,50.63,NaN,57.24337307821154,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2002-02-07,49.42,49.42,49.42,49.42,NaN,56.53215734382867,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-3.5420222507096994,NaN
2002-02-08,52.22,52.22,52.22,52.22,NaN,56.14014303984425,NaN,NaN,NaN,13,8,NaN,NaN,NaN,NaN,-3.4513977449025077,NaN
2002-02-11,54.17,54.17,54.17,54.17,NaN,55.96103912713114,NaN,NaN,NaN,27,20,NaN,NaN,NaN,NaN,-3.185507915624484,NaN
2002-02-12,54.15,54.15,54.15,54.15,NaN,55.79639920648285,NaN,NaN,NaN,34,28,NaN,NaN,NaN,NaN,-2.9424830303995435,NaN
2002-02-13,55.15,55.15,55.15,55.15,NaN,55.73763564225714,NaN,NaN,NaN,44,38,NaN,NaN,NaN,NaN,-2.6387742681247346,NaN
2002-02-14,54.42,54.42,54.42,54.42,NaN,55.61785058387013,NaN,NaN,NaN,43,40,NaN,NaN,NaN,NaN,-2.42898792425558,NaN
2002-02-15,54.47,54.47,54.47,54.47,NaN,55.51350053079103,NaN,NaN,NaN,48,45,NaN,NaN,NaN,NaN,-2.232956026075989,NaN
2002-02-19,51.03,51.03,51.03,51.03,NaN,55.10590957344639,NaN,NaN,NaN,26,32,NaN,NaN,NaN,NaN,-2.32833894315948,NaN
2002-02-20,52.87,52.87,52.87,52.87,NaN,54.902645066769445,NaN,NaN,NaN,35,33,NaN,NaN,NaN,0.5458255715248677,-2.229754744941026,-2.7755803164658936
2002-02-21,50.94,50.94,50.94,50.94,NaN,54.542404606154044,NaN,NaN,NaN,23,26,NaN,NaN,NaN,0.39561127998875545,-2.2810662164799496,-2.676677496468705
2002-02-22,52.77,52.77,52.77,52.77,NaN,54.38127691468549,NaN,NaN,NaN,33,30,NaN,NaN,NaN,0.4219103577635783,-2.149289549264232,-2.57119990702781
2002-02-25,54.33,54.33,54.33,54.33,NaN,54.37661537698681,NaN,NaN,NaN,50,43,NaN,NaN,NaN,0.5392735663963371,-1.8971079490323888,-2.436381515428726
2002-02-26,54.85,54.85,54.85,54.85,NaN,54.419650342715286,NaN,NaN,NaN,60,54,NaN,NaN,NaN,0.6399621508034254,-1.636428826924444,-2.2763909777278695
2002-02-27,55.53,55.53,55.53,55.53,NaN,54.52059122065026,NaN,NaN,NaN,69,64,NaN,NaN,NaN,0.7336733648305072,-1.3592992716897356,-2.092972636520243
2002-02-28,55.3,55.3,55.3,55.3,NaN,54.59144656422751,NaN,NaN,NaN,72,69,NaN,NaN,NaN,0.7583525375084026,-1.1450319646347396,-1.9033845021431421
2002-03-01,58.36,58.36,58.36,58.36,NaN,54.93404233111592,NaN,NaN,NaN,90,83,NaN,NaN,NaN,0.9467017161575213,-0.7200073569462404,-1.6667090731037617
2002-03-04,61.33,61.33,61.33,61.33,NaN,55.515493028287196,NaN,NaN,NaN,96,91,NaN,NaN,NaN,1.2198611941046362,-0.14188258047296642,-1.3617437745776027
2002-03-05,61.41,61.41,61.41,61.41,NaN,56.0513572984429,NaN,NaN,NaN,98,95,NaN,NaN,NaN,1.344645294547631,0.31906284360693604,-1.025582450940695
2002-03-06,64.29,64.29,64.29,64.29,NaN,56.80032481676628,NaN,NaN,NaN,98,96,NaN,NaN,NaN,1.5455139342080078,0.9063099668193146,-0.6392039673886931
2002-03-07,63.99,63.99,63.99,63.99,NaN,57.45393165160571,NaN,NaN,NaN,97,96,NaN,NaN,NaN,1.577078313215126,1.3321439241302144,-0.2449343890849116
2002-03-08,64.79,64.79,64.79,64.79,NaN,58.12084695600519,NaN,NaN,NaN,98,97,NaN,NaN,NaN,1.5674763544216213,1.714411053942115,0.1469346995204937
2002-03-11,65.95,65.95,65.95,65.95,NaN,58.832588141822896,NaN,NaN,NaN,98,97,NaN,NaN,NaN,1.5519772464603812,2.0869062575959703,0.5349290111355891
2002-03-12,64.73,64.73,64.73,64.73,NaN,59.36871649256627,NaN,NaN,NaN,93,94,NaN,NaN,NaN,1.3781710985345224,2.257642884303742,0.8794717857692197
2002-03-13,63.45,63.45,63.45,63.45,NaN,59.73974226596934,NaN,NaN,NaN,86,88,NaN,NaN,NaN,1.1072821798131935,2.2635745105357117,1.1562923307225181
2002-03-14,64.14,64.14,64.14,64.14,NaN,60.139765696335765,57.8086,NaN,NaN,86,86,NaN,NaN,NaN,0.9129411835580217,2.297468810170045,1.3845276266120234
2002-03-15,64.86,64.86,64.86,64.86,NaN,60.568877905759784,58.08512549019608,NaN,NaN,89,87,NaN,NaN,NaN,0.7766003705700908,2.355278089824637,1.578677719254546
2002-03-18,65.17,65.17,65.17,65.17,NaN,60.987161732508895,58.36296370626682,NaN,NaN,92,90,NaN,NaN,NaN,0.6558248880132542,2.3984588292711138,1.7426339412578595
2002-03-19,65.47,65.47,65.47,65.47,NaN,61.394692484099,58.64167101190341,NaN,NaN,94,92,NaN,NaN,NaN,0.5490037691700231,2.4288886527203886,1.8798848835503654
2002-03-20,64,64,64,64,NaN,61.63153862190818,58.85180156045622,NaN,NaN,89,89,NaN,NaN,NaN,0.3423201591255822,2.307785082457343,1.965464923331761
2002-03-21,64.33,64.33,64.33,64.33,NaN,61.876853292643794,59.066632871810874,NaN,NaN,88,87,NaN,NaN,NaN,0.19797094860606235,2.2129286090893387,2.0149576604832764
2002-03-22,63.94,63.94,63.94,63.94,NaN,62.06441208422163,59.257745308210446,NaN,NaN,86,86,NaN,NaN,NaN,0.05385882244597129,2.0822811885407404,2.028422366094769
2002-03-25,62.02,62.02,62.02,62.02,NaN,62.060374622019665,59.36606902161396,NaN,NaN,74,77,NaN,NaN,NaN,-0.18031388883530575,1.803030005050637,1.9833438938859427
2002-03-26,62.73,62.73,62.73,62.73,NaN,62.121249656381515,59.49798788351145,NaN,NaN,72,73,NaN,NaN,NaN,-0.290407681962789,1.6203342914324566,1.9107419733952455
2002-03-27,64.09,64.09,64.09,64.09,NaN,62.30022696034683,59.67806679004041,NaN,NaN,79,76,NaN,NaN,NaN,-0.27481653511035686,1.5672213045072994,1.8420378396176562
2002-03-28,65.3,65.3,65.3,65.3,NaN,62.5729336003153,59.898534759058435,NaN,NaN,88,83,NaN,NaN,NaN,-0.19021210358104357,1.6042727101413519,1.7944848137223954
2002-04-01,64.69,64.69,64.69,64.69,NaN,62.76539418210482,60.08643535674242,NaN,NaN,87,85,NaN,NaN,NaN,-0.18250120261685976,1.5663583104513208,1.7488595130681805
2002-04-02,64.25,64.25,64.25,64.25,NaN,62.90035834736802,60.24971240157605,NaN,NaN,80,81,NaN,NaN,NaN,-0.21212493509990304,1.4837033441933016,1.6958282792932047
2002-04-03,63.02,63.02,63.02,63.02,NaN,62.911234861243656,60.358351130926,NaN,NaN,50,60,NaN,NaN,NaN,-0.3135288463083572,1.3039172214077581,1.6174460677161153
