Date,Open,High,Low,Close
2002-01-02,57.97,57.97,57.97,57.97
2002-01-03,61.65,61.65,61.65,61.65
2002-01-04,63.57,63.57,63.57,63.57
2002-01-07,62.73,62.73,62.73,62.73
2002-01-08,63.35,63.35,63.35,63.35
2002-01-09,62.57,62.57,62.57,62.57
2002-01-10,62.83,62.83,62.83,62.83
2002-01-11,61.79,61.79,61.79,61.79
2002-01-14,59.9,59.9,59.9,59.9
2002-01-15,60.66,60.66,60.66,60.66
2002-01-16,57.63,57.63,57.63,57.63
2002-01-17,59.26,59.26,59.26,59.26
2002-01-18,56.95,56.95,56.95,56.95
2002-01-22,55.18,55.18,55.18,55.18
2002-01-23,57.03,57.03,57.03,57.03
2002-01-24,57.78,57.78,57.78,57.78
2002-01-25,57.59,57.59,57.59,57.59
2002-01-28,57.59,57.59,57.59,57.59
2002-01-29,54.29,54.29,54.29,54.29
2002-01-30,55.84,55.84,55.84,55.84
2002-01-31,57.33,57.33,57.33,57.33
2002-02-01,56.61,56.61,56.61,56.61
2002-02-04,53.28,53.28,53.28,53.28
2002-02-05,52.36,52.36,52.36,52.36
2002-02-06,50.63,50.63,50.63,50.63
2002-02-07,49.42,49.42,49.42,49.42
2002-02-08,52.22,52.22,52.22,52.22
2002-02-11,54.17,54.17,54.17,54.17
2002-02-12,54.15,54.15,54.15,54.15
2002-02-13,55.15,55.15,55.15,55.15
2002-02-14,54.42,54.42,54.42,54.42
2002-02-15,54.47,54.47,54.47,54.47
2002-02-19,51.03,51.03,51.03,51.03
2002-02-20,52.87,52.87,52.87,52.87
2002-02-21,50.94,50.94,50.94,50.94
2002-02-22,52.77,52.77,52.77,52.77
2002-02-25,54.33,54.33,54.33,54.33
2002-02-26,54.85,54.85,54.85,54.85
2002-02-27,55.53,55.53,55.53,55.53
2002-02-28,55.3,55.3,55.3,55.3
2002-03-01,58.36,58.36,58.36,58.36
2002-03-04,61.33,61.33,61.33,61.33
2002-03-05,61.41,61.41,61.41,61.41
2002-03-06,64.29,64.29,64.29,64.29
2002-03-07,63.99,63.99,63.99,63.99
2002-03-08,64.79,64.79,64.79,64.79
2002-03-11,65.95,65.95,65.95,65.95
2002-03-12,64.73,64.73,64.73,64.73
2002-03-13,63.45,63.45,63.45,63.45
2002-03-14,64.14,64.14,64.14,64.14
2002-03-15,64.86,64.86,64.86,64.86
2002-03-18,65.17,65.17,65.17,65.17
2002-03-19,65.47,65.47,65.47,65.47
2002-03-20,64.0,64.0,64.0,64.0
2002-03-21,64.33,64.33,64.33,64.33
2002-03-22,63.94,63.94,63.94,63.94
2002-03-25,62.02,62.02,62.02,62.02
2002-03-26,62.73,62.73,62.73,62.73
2002-03-27,64.09,64.09,64.09,64.09
2002-03-28,65.3,65.3,65.3,65.3
2002-04-01,64.69,64.69,64.69,64.69
2002-04-02,64.25,64.25,64.25,64.25
2002-04-03,63.02,63.02,63.02,63.02
2002-04-04,63.19,63.19,63.19,63.19
2002-04-05,63.04,63.04,63.04,63.04
2002-04-08,63.05,63.05,63.05,63.05
2002-04-09,62.98,62.98,62.98,62.98
2002-04-10,64.55,64.55,64.55,64.55
2002-04-11,62.88,62.88,62.88,62.88
2002-04-12,64.36,64.36,64.36,64.36
2002-04-15,64.41,64.41,64.41,64.41
2002-04-16,66.83,66.83,66.83,66.83
2002-04-17,66.95,66.95,66.95,66.95
2002-04-18,67.05,67.05,67.05,67.05
2002-04-19,67.49,67.49,67.49,67.49
2002-04-22,65.84,65.84,65.84,65.84
2002-04-23,65.53,65.53,65.53,65.53
2002-04-24,64.72,64.72,64.72,64.72
2002-04-25,64.38,64.38,64.38,64.38
2002-04-26,62.87,62.87,62.87,62.87
2002-04-29,62.37,62.37,62.37,62.37
2002-04-30,64.07,64.07,64.07,64.07
2002-05-01,64.93,64.93,64.93,64.93
2002-05-02,64.88,64.88,64.88,64.88
2002-05-03,64.69,64.69,64.69,64.69
2002-05-06,62.94,62.94,62.94,62.94
2002-05-07,62.38,62.38,62.38,62.38
2002-05-08,65.19,65.19,65.19,65.19
2002-05-09,63.15,63.15,63.15,63.15
2002-05-10,61.36,61.36,61.36,61.36
2002-05-13,62.55,62.55,62.55,62.55
2002-05-14,65.31,65.31,65.31,65.31
2002-05-15,65.45,65.45,65.45,65.45
2002-05-16,65.3,65.3,65.3,65.3
2002-05-17,65.91,65.91,65.91,65.91
2002-05-20,64.25,64.25,64.25,64.25
2002-05-21,62.85,62.85,62.85,62.85
2002-05-22,62.28,62.28,62.28,62.28
2002-05-23,63.47,63.47,63.47,63.47
2002-05-24,62.41,62.41,62.41,62.41
2002-05-28,62.1,62.1,62.1,62.1
2002-05-29,61.34,61.34,61.34,61.34
2002-05-30,61.38,61.38,61.38,61.38
2002-05-31,62.16,62.16,62.16,62.16
2002-06-03,58.7,58.7,58.7,58.7
2002-06-05,58.85,58.85,58.85,58.85
2002-06-06,56.39,56.39,56.39,56.39
2002-06-07,56.92,56.92,56.92,56.92
2002-06-10,57.05,57.05,57.05,57.05
2002-06-11,55.14,55.14,55.14,55.14
2002-06-12,54.02,54.02,54.02,54.02
2002-06-13,52.68,52.68,52.68,52.68
2002-06-14,52.77,52.77,52.77,52.77
2002-06-17,55.92,55.92,55.92,55.92
2002-06-18,56.06,56.06,56.06,56.06
2002-06-19,53.3,53.3,53.3,53.3
2002-06-20,52.39,52.39,52.39,52.39
2002-06-21,51.72,51.72,51.72,51.72
2002-06-24,50.45,50.45,50.45,50.45
2002-06-25,49.88,49.88,49.88,49.88
2002-06-26,48.32,48.32,48.32,48.32
2002-06-27,50.65,50.65,50.65,50.65
2002-06-28,52.21,52.21,52.21,52.21
2002-07-01,50.43,50.43,50.43,50.43
2002-07-02,46.5,46.5,46.5,46.5
2002-07-03,44.74,44.74,44.74,44.74
2002-07-05,46.79,46.79,46.79,46.79
2002-07-08,47.65,47.65,47.65,47.65
2002-07-09,46.13,46.13,46.13,46.13
2002-07-10,42.04,42.04,42.04,42.04
2002-07-11,40.1,40.1,40.1,40.1
2002-07-12,38.13,38.13,38.13,38.13
2002-07-15,35.19,35.19,35.19,35.19
2002-07-16,32.71,32.71,32.71,32.71
2002-07-17,34.45,34.45,34.45,34.45
2002-07-18,30.92,30.92,30.92,30.92
2002-07-19,27.47,27.47,27.47,27.47
2002-07-22,23.4,23.4,23.4,23.4
2002-07-23,18.53,18.53,18.53,18.53
2002-07-24,21.88,21.88,21.88,21.88
2002-07-25,23.4,23.4,23.4,23.4
2002-07-26,25.16,25.16,25.16,25.16
2002-07-29,31.98,31.98,31.98,31.98
2002-07-30,32.29,32.29,32.29,32.29
2002-07-31,32.07,32.07,32.07,32.07
2002-08-01,30.25,30.25,30.25,30.25
2002-08-02,26.56,26.56,26.56,26.56
2002-08-05,24.56,24.56,24.56,24.56
2002-08-06,27.46,27.46,27.46,27.46
2002-08-07,28.92,28.92,28.92,28.92
2002-08-08,30.85,30.85,30.85,30.85
2002-08-09,30.8,30.8,30.8,30.8
2002-08-13,28.69,28.69,28.69,28.69
2002-08-14,31.88,31.88,31.88,31.88
2002-08-15,33.53,33.53,33.53,33.53
2002-08-16,33.87,33.87,33.87,33.87
2002-08-19,35.49,35.49,35.49,35.49
2002-08-20,33.54,33.54,33.54,33.54
2002-08-21,35.65,35.65,35.65,35.65
2002-08-22,37.63,37.63,37.63,37.63
2002-08-23,35.32,35.32,35.32,35.32
2002-08-26,37.73,37.73,37.73,37.73
2002-08-27,36.17,36.17,36.17,36.17
2002-08-28,33.91,33.91,33.91,33.91
2002-08-29,35.14,35.14,35.14,35.14
2002-08-30,35.65,35.65,35.65,35.65
2002-09-03,31.87,31.87,31.87,31.87
2002-09-04,33.94,33.94,33.94,33.94
2002-09-05,31.99,31.99,31.99,31.99
2002-09-06,34.36,34.36,34.36,34.36
2002-09-09,35.05,35.05,35.05,35.05
2002-09-10,35.33,35.33,35.33,35.33
