Day,Date,Open,High,Low,Close,Volume
Fri,5/5/2023,29.94,29.94,29.94,29.94,0
Thu,5/4/2023,28.508,28.627,27.081,27.408,0
Wed,5/3/2023,29.064,30.966,28.945,29.064,0
Tue,5/2/2023,30.648,30.708,28.045,28.758,0
Mon,5/1/2023,30.945,32.075,30.916,31.243,0
Fri,4/28/2023,29.786,31.272,29.578,31.064,0
Thu,4/27/2023,28.278,29.786,27.743,29.667,0
Wed,4/26/2023,28.614,28.822,27.365,27.603,0
Tue,4/25/2023,30.481,30.778,28.283,28.283,0
Mon,4/24/2023,32.452,32.631,30.977,31.185,0
Fri,4/21/2023,32.472,32.631,31.562,32.245,0
Thu,4/20/2023,32.233,33.105,15.419,32.412,0
Wed,4/19/2023,32.422,33.7,32.273,33.105,0
Tue,4/18/2023,35.046,35.402,33.036,33.512,0
Mon,4/17/2023,33.422,34.393,33.264,34.333,0
Fri,4/14/2023,34.808,35.373,32.452,33.66,0
Thu,4/13/2023,32.858,34.808,32.829,34.719,0
Wed,4/12/2023,34.342,34.669,32.344,32.522,0
Tue,4/11/2023,32.789,33.719,32.621,33.304,0
Mon,4/10/2023,30.356,32.404,30.089,32.077,0
Thu,4/6/2023,30.074,31.039,29.807,30.703,0
Wed,4/5/2023,31.378,31.407,29.57,30.193,0
Tue,4/4/2023,34.055,34.055,31.407,31.941,0
Mon,4/3/2023,33.62,34.282,32.553,33.788,0
Fri,3/31/2023,32.453,34.243,32.247,34.065,0
Thu,3/30/2023,32.046,32.729,30.851,31.593,0
Wed,3/29/2023,30.413,31.473,30.324,31.146,0
Tue,3/28/2023,29.427,29.813,29.279,29.427,0
Mon,3/27/2023,29.724,30.317,29.16,29.783,0
Fri,3/24/2023,27.928,28.995,27.127,28.639,0
Thu,3/23/2023,30.122,31.109,27.601,28.491,0
Wed,3/22/2023,14.625,32.019,14.358,28.876,0
Tue,3/21/2023,29.727,31.752,29.727,31.426,0
Mon,3/20/2023,29.109,29.938,28.339,28.635,0
Fri,3/17/2023,30.341,30.491,28.309,28.724,0
Thu,3/16/2023,27.776,31.487,27.413,31.132,0
Wed,3/15/2023,29.126,29.494,27.472,29.219,0
Tue,3/14/2023,31.883,33.412,31.161,31.25,0
Mon,3/13/2023,29.091,30.935,28.352,29.278,0
Fri,3/10/2023,35.74,35.769,30.601,31.666,0
Thu,3/9/2023,40.55,40.994,36.675,36.675,0
Wed,3/8/2023,41.029,41.519,40.024,40.733,0
Tue,3/7/2023,42.402,42.756,40.697,41.111,0
Mon,3/6/2023,44.349,44.438,42.313,42.49,0
Fri,3/3/2023,42.798,44.644,42.575,44.29,0
Thu,3/2/2023,40.897,42.621,40.762,42.385,0
Wed,3/1/2023,42.562,43.123,41.812,41.812,0
Tue,2/28/2023,42.52,43.612,42.242,42.697,0
Mon,2/27/2023,42.811,43.995,42.225,42.697,0
Fri,2/24/2023,42.512,42.777,41.539,41.922,0
Thu,2/23/2023,45.106,45.401,42.777,44.487,0
Wed,2/22/2023,44.222,45.136,43.16,43.75,0
Tue,2/21/2023,46.993,47.258,43.809,43.809,0
Fri,2/17/2023,47.681,48.451,46.972,48.303,0
Thu,2/16/2023,47.561,49.35,47.264,47.961,0
Wed,2/15/2023,47.057,49.498,46.676,49.261,0
Tue,2/14/2023,47.114,48.359,46.256,47.619,0
Mon,2/13/2023,46.493,48.077,46.02,47.766,0
Fri,2/10/2023,46.519,46.844,45.901,46.641,0
Thu,2/9/2023,50.519,50.874,46.89,47.186,0
Wed,2/8/2023,50.978,51.659,49.052,49.348,0
Tue,2/7/2023,50.681,52.102,49.645,51.687,0
Mon,2/6/2023,51.762,51.806,50.681,51.036,0
Fri,2/3/2023,52.059,54.204,51.954,52.22,0
Thu,2/2/2023,51.258,54.414,51.258,53.821,0
Wed,2/1/2023,47.32,50.992,46.787,49.541,0
Tue,1/31/2023,43.602,46.876,43.602,46.432,0
Mon,1/30/2023,44.079,44.849,43.128,43.128,0
Fri,1/27/2023,43.487,45.234,43.474,44.938,0
Thu,1/26/2023,44.451,44.467,42.456,43.652,0
Wed,1/25/2023,41.326,42.735,22.877,42.675,0
Tue,1/24/2023,42.667,43.521,42.371,42.811,0
Mon,1/23/2023,41.679,43.406,20.166,43.081,0
Fri,1/20/2023,39.332,41.016,38.712,41.016,0
Thu,1/19/2023,38.471,38.582,37.223,38.198,0
Wed,1/18/2023,42.402,43.152,39.256,39.315,0
Tue,1/17/2023,41.251,42.031,40.868,41.369,0
Fri,1/13/2023,39.179,41.163,38.938,40.956,0
Thu,1/12/2023,37.976,39.77,36.854,39.652,0
Wed,1/11/2023,35.516,37.386,35.457,37.238,0
Tue,1/10/2023,33.451,35.251,33.392,35.251,0
Mon,1/9/2023,33.589,34.867,33.186,33.54,0
Fri,1/6/2023,30.572,32.92,30.159,32.802,0
Thu,1/5/2023,29.982,30.159,14.446,29.363,0
Wed,1/4/2023,30.1,31.132,29.578,30.542,0
Tue,1/3/2023,29.573,30.398,27.919,28.921,0
Fri,12/30/2022,27.508,28.63,13.457,28.542,0
Thu,12/29/2022,26.059,28.727,25.882,28.639,0
Wed,12/28/2022,26.992,27.639,25.302,25.36,0
Tue,12/27/2022,28.042,28.08,26.904,26.933,0
Fri,12/23/2022,27.678,27.921,26.776,27.921,0
Thu,12/22/2022,27.649,27.649,25.712,27.385,0
Wed,12/21/2022,27.854,29.293,27.745,28.618,0
Tue,12/20/2022,26.446,27.796,26.387,27.062,0
Mon,12/19/2022,28.588,28.588,26.344,26.96,0
Fri,12/16/2022,27.35,28.391,26.931,28.362,0
Thu,12/15/2022,30.091,30.091,13.753,28.378,0
Wed,12/14/2022,32.549,33.765,31.206,31.412,0
Tue,12/13/2022,35.165,35.928,32.383,33,0
Mon,12/12/2022,31.189,32.266,30.631,32.178,0
Fri,12/9/2022,31.408,31.934,15.263,30.878,0
Thu,12/8/2022,31.378,32.649,30.792,31.701,0
Wed,12/7/2022,31.105,31.75,30.695,30.724,0
Tue,12/6/2022,32.639,32.845,30.607,31.31,0
Mon,12/5/2022,35.21,35.386,32.405,32.786,0
Fri,12/2/2022,33.842,36.158,33.812,35.66,0
Thu,12/1/2022,34.977,35.358,34.184,34.966,0
Wed,11/30/2022,31.916,34.448,31.015,34.419,0
Tue,11/29/2022,31.534,32.091,31.27,31.417,0
Mon,11/28/2022,31.486,31.574,31.398,31.574,0
Fri,11/25/2022,33.011,33.802,33.011,33.558,0
Wed,11/23/2022,32.455,33.187,31.898,32.972,0
Tue,11/22/2022,31.186,32.504,14.993,32.504,0
Mon,11/21/2022,31.42,31.508,30.805,31.215,0
Fri,11/18/2022,32.66,32.719,31.138,32.104,0
Thu,11/17/2022,30.65,31.587,30.357,31.431,0
Wed,11/16/2022,32.924,33.07,31.802,32.124,0
Tue,11/15/2022,34.133,34.543,32.933,33.519,0
Mon,11/14/2022,33.001,33.665,32.415,32.493,0
Fri,11/11/2022,31.926,33.646,31.868,33.089,0
Thu,11/10/2022,29.803,31.975,29.748,31.946,0
Wed,11/9/2022,28.006,28.24,26.078,26.313,0
Tue,11/8/2022,28.835,29.443,27.713,28.622,0
Mon,11/7/2022,27.664,28.705,26.911,28.383,0
Fri,11/4/2022,27.1,27.51,25.578,27.158,0
Thu,11/3/2022,25.607,26.874,24.934,26.017,0
Wed,11/2/2022,28.229,29.587,26.514,26.514,0
Tue,11/1/2022,28.779,29.29,28.187,28.521,0
Mon,10/31/2022,27.781,28.829,27.606,28.072,0
Fri,10/28/2022,25.954,28.276,13.279,27.226,0
Thu,10/27/2022,26.618,27.222,25.837,26.041,0
Wed,10/26/2022,25.452,27.397,25.306,26.152,0
Tue,10/25/2022,23.09,25.386,23.09,25.27,0
Mon,10/24/2022,22.413,22.77,21.778,22.653,0
Fri,10/21/2022,20.74,22.705,20.449,22.472,0
Thu,10/20/2022,21.299,22.226,19.895,20.361,0
Wed,10/19/2022,22.187,22.465,20.6,21.212,0
Tue,10/18/2022,23.272,23.855,22.135,22.835,0
Mon,10/17/2022,21.172,22.251,21.172,21.995,0
Fri,10/14/2022,22.135,22.31,19.248,19.51,0
Thu,10/13/2022,17.445,21.529,16.89,21.208,0
Wed,10/12/2022,18.699,19.457,8.81,19.02,0
Tue,10/11/2022,18.407,19.662,17.736,18.728,0
Mon,10/10/2022,19.044,19.37,8.81,18.67,0
Fri,10/7/2022,20.735,20.764,19.014,19.014,0
Thu,10/6/2022,21.493,22.426,21.26,21.464,0
Wed,10/5/2022,21.056,22.281,20.21,21.814,0
Tue,10/4/2022,20.012,22.455,20.012,22.281,0
Mon,10/3/2022,17.187,18.845,16.458,18.495,0
Fri,9/30/2022,16.316,18.354,15.903,15.903,0
Thu,9/29/2022,17.226,17.226,15.47,16.404,0
Wed,9/28/2022,15.976,18.569,15.683,18.015,0
Tue,9/27/2022,15.679,16.584,14.632,15.421,0
Mon,9/26/2022,16.024,17.051,15.066,15.153,0
Fri,9/23/2022,17.182,17.182,15.266,16.258,0
Thu,9/22/2022,20.385,20.385,17.97,18.436,0
Wed,9/21/2022,22.368,22.776,20.472,20.472,0
Tue,9/20/2022,22.012,22.31,21.172,21.785,0
Mon,9/19/2022,22.076,22.916,10.583,22.916,0
Fri,9/16/2022,22.815,23.055,21.335,23.055,0
Thu,9/15/2022,23.75,25.225,11.532,23.987,0
Wed,9/14/2022,23.786,24.389,23.372,24.128,0
Tue,9/13/2022,25.087,25.684,11.024,23.56,0
Mon,9/12/2022,26.694,28.172,26.607,27.707,0
Fri,9/9/2022,25.131,26.287,25.124,26.025,0
Thu,9/8/2022,22.61,24.346,22.058,24.316,0
Wed,9/7/2022,20.587,23.452,20.587,23.075,0
Tue,9/6/2022,22.064,22.064,20.378,20.727,0
Fri,9/2/2022,23.321,23.931,21.46,21.954,0
Thu,9/1/2022,22.594,22.594,21.314,22.332,0
Wed,8/31/2022,23.909,24.142,11.373,23.153,0
Tue,8/30/2022,25.342,25.451,22.985,23.305,0
Mon,8/29/2022,25.531,25.88,12.187,25.102,0
Fri,8/26/2022,30.55,30.579,26.345,26.374,0
Thu,8/25/2022,28.842,30.006,28.492,29.948,0
Wed,8/24/2022,27.037,28.447,26.892,27.865,0
Tue,8/23/2022,26.921,27.728,26.913,27.029,0
Mon,8/22/2022,28.276,28.334,26.339,26.601,0
Fri,8/19/2022,30.586,30.751,29.091,29.354,0
Thu,8/18/2022,31.188,32.071,30.597,31.955,0
Wed,8/17/2022,32.112,32.49,30.422,31.121,0
Tue,8/16/2022,32.597,33.973,32.112,33.188,0
Mon,8/15/2022,31.006,33.333,30.803,33.217,0
Fri,8/12/2022,30.044,31.531,29.584,31.473,0
Thu,8/11/2022,29.52,30.626,28.85,29.112,0
Wed,8/10/2022,26.799,28.405,26.608,28.318,0
Tue,8/9/2022,26.224,26.34,24.629,25.153,0
Mon,8/8/2022,26.441,27.477,26.107,26.661,0
Fri,8/5/2022,23.31,25.83,23.31,25.655,0
Thu,8/4/2022,24.22,24.774,23.55,24.716,0
Wed,8/3/2022,23.061,24.257,22.595,24.075,0
Tue,8/2/2022,22.089,23.301,21.441,22.076,0
Mon,8/1/2022,21.289,22.79,20.834,22.498,0
Fri,7/29/2022,20.951,22.141,20.601,22.018,0
Thu,7/28/2022,19.983,20.864,18.896,20.689,0
Wed,7/27/2022,18.084,19.895,17.704,19.544,0
Tue,7/26/2022,16.998,17.874,16.764,17.402,0
Mon,7/25/2022,16.963,17.664,16.671,17.635,0
Fri,7/22/2022,18.086,18.524,16.19,16.92,0
Thu,7/21/2022,16.774,17.853,16.361,17.853,0
Wed,7/20/2022,16.147,17.488,16.064,17.05,0
Tue,7/19/2022,14.802,16.438,14.744,16.293,0
Mon,7/18/2022,14.885,15.234,13.72,13.953,0
Fri,7/15/2022,13.57,14.244,12.697,14.244,0
Thu,7/14/2022,12.515,12.515,11.648,12.464,0
Wed,7/13/2022,12.565,13.525,12.413,13.264,0
Tue,7/12/2022,13.65,13.795,12.827,13.031,0
Mon,7/11/2022,13.995,14.348,13.442,13.708,0
Fri,7/8/2022,13.849,14.78,13.442,14.635,0
Thu,7/7/2022,13.355,14.489,13.33,14.198,0
Wed,7/6/2022,12.631,13.151,12.016,12.715,0
Tue,7/5/2022,12.136,12.922,11.292,12.893,0
Fri,7/1/2022,12.311,12.98,11.842,12.835,0
Thu,6/30/2022,11.587,12.602,5.415,12.602,0
Wed,6/29/2022,12.983,12.983,11.932,12.311,0
Tue,6/28/2022,14.028,14.551,12.896,13.07,0
Mon,6/27/2022,13.767,14.116,13.215,13.97,0
Fri,6/24/2022,12.014,13.469,11.923,13.208,0
Thu,6/23/2022,11.569,11.949,11.108,11.717,0
Wed,6/22/2022,11.127,11.714,10.921,11.279,0
Tue,6/21/2022,11.272,11.967,10.78,11.33,0
Fri,6/17/2022,9.844,10.602,9.731,10.487,0
Thu,6/16/2022,10.1651,10.3648,9.1488,9.4673,0
Wed,6/15/2022,10.834,11.932,10.397,11.063,0
Tue,6/14/2022,9.1954,9.1954,9.1954,9.1954,0
Mon,6/13/2022,10.249,12.424,10.162,10.249,0
Fri,6/10/2022,15.088,15.088,13.032,13.438,0
Thu,6/9/2022,17.448,19.429,0.956,15.088,0
Wed,6/8/2022,15.5,15.5,15.5,15.5,0
Tue,6/7/2022,16.706,16.706,16.706,16.706,0
Mon,6/6/2022,15.535,15.535,15.535,15.535,0
Fri,6/3/2022,15.718,15.718,15.718,15.718,0
Thu,6/2/2022,16.634,16.634,16.634,16.634,0
Wed,6/1/2022,14.646,14.646,14.646,14.646,0
Tue,5/31/2022,15.367,15.367,15.367,15.367,0
Fri,5/27/2022,15.81,15.81,15.81,15.81,0
Thu,5/26/2022,13.447,13.447,13.447,13.447,0
Wed,5/25/2022,12.344,12.344,12.344,12.344,0
Tue,5/24/2022,11.128,11.128,11.128,11.128,0
Mon,5/23/2022,11.865,11.865,11.865,11.865,0
Fri,5/20/2022,10.943,10.943,10.943,10.943,0
Thu,5/19/2022,11.024,11.024,11.024,11.024,0
Wed,5/18/2022,11.475,11.475,11.475,11.475,0
Tue,5/17/2022,13.583,13.583,13.583,13.583,0
Mon,5/16/2022,11.68,11.68,11.68,11.68,0
Fri,5/13/2022,11.652,11.652,11.652,11.652,0
Thu,5/12/2022,9.8905,9.8905,9.8905,9.8905,0
Wed,5/11/2022,9.8983,9.8983,9.8983,9.8983,0
Tue,5/10/2022,10.38,10.38,10.38,10.38,0
Mon,5/9/2022,10.235,10.235,10.235,10.235,0
Fri,5/6/2022,12.663,12.663,12.663,12.663,0
Thu,5/5/2022,14.303,14.303,14.303,14.303,0
Wed,5/4/2022,17.529,17.529,17.529,17.529,0
Tue,5/3/2022,15.117,15.117,15.117,15.117,0
Mon,5/2/2022,13.987,13.987,13.987,13.987,0
Fri,4/29/2022,14.055,14.055,14.055,14.055,0
Thu,4/28/2022,16.124,16.124,16.124,16.124,0
Wed,4/27/2022,14.6,14.6,14.6,14.6,0
Tue,4/26/2022,14.729,14.729,14.729,14.729,0
Mon,4/25/2022,17.518,17.518,17.518,17.518,0
Fri,4/22/2022,16.857,16.857,16.857,16.857,0
Thu,4/21/2022,19.068,19.068,19.068,19.068,0
Wed,4/20/2022,20.925,20.925,20.925,20.925,0
Tue,4/19/2022,20.445,20.445,20.445,20.445,0
Mon,4/18/2022,18.504,18.504,18.504,18.504,0
Thu,4/14/2022,19.87,19.87,19.87,19.87,0
Wed,4/13/2022,20.688,20.688,20.688,20.688,0
Tue,4/12/2022,18.469,18.469,18.469,18.469,0
Mon,4/11/2022,18.614,18.614,18.614,18.614,0
Fri,4/8/2022,18.999,18.999,18.999,18.999,0
Thu,4/7/2022,20.031,20.031,20.031,20.031,0
Wed,4/6/2022,20.358,20.358,20.358,20.358,0
Tue,4/5/2022,22.328,22.328,22.328,22.328,0
Mon,4/4/2022,24.47,24.47,24.47,24.47,0
Fri,4/1/2022,23.654,23.654,23.654,23.654,0
Thu,3/31/2022,22.817,22.817,22.817,22.817,0
Wed,3/30/2022,24.285,24.285,24.285,24.285,0
Tue,3/29/2022,27.481,27.481,27.481,27.481,0
