Day,Date,Open,High,Low,Close,Volume
Thu,3/2/2023,-24,-24,-89,-69,0
Wed,3/1/2023,6,6,-40,-32,0
Tue,2/28/2023,-11,2,-22,2,0
Mon,2/27/2023,8,11,-35,-2,0
Fri,2/24/2023,-31,-30,-113,-109,0
Thu,2/23/2023,8,8,-74,-48,0
Wed,2/22/2023,-11,-11,-76,-76,0
Tue,2/21/2023,-5,-5,-80,-80,0
Fri,2/17/2023,4,12,-4,12,0
Thu,2/16/2023,5,43,5,29,0
Wed,2/15/2023,8,28,-5,28,0
Tue,2/14/2023,1,11,-7,3,0
Mon,2/13/2023,2,14,-13,14,0
Fri,2/10/2023,2,3,-23,-21,0
Thu,2/9/2023,21,41,17,26,0
Wed,2/8/2023,14,53,14,53,0
Tue,2/7/2023,13,60,13,60,0
Mon,2/6/2023,9,59,9,59,0
Fri,2/3/2023,9,118,9,118,0
Thu,2/2/2023,48,172,48,172,0
Wed,2/1/2023,21,152,19,152,0
Tue,1/31/2023,4,103,4,103,0
Mon,1/30/2023,-2,69,-2,69,0
Fri,1/27/2023,10,86,10,86,0
Thu,1/26/2023,24,80,24,80,0
Wed,1/25/2023,5,53,5,53,0
Tue,1/24/2023,4,77,4,77,0
Mon,1/23/2023,14,80,12,80,0
Fri,1/20/2023,7,56,6,56,0
Thu,1/19/2023,-5,37,-10,37,0
Wed,1/18/2023,21,88,21,88,0
Tue,1/17/2023,20,113,20,113,0
Fri,1/13/2023,10,102,10,102,0
Thu,1/12/2023,15,113,15,113,0
Wed,1/11/2023,9,97,9,97,0
Tue,1/10/2023,-3,63,-4,63,0
Mon,1/9/2023,14,79,14,79,0
Fri,1/6/2023,-6,29,-23,29,0
Thu,1/5/2023,4,16,-31,16,0
Wed,1/4/2023,10,45,-5,45,0
Tue,1/3/2023,11,19,-13,14,0
Fri,12/30/2022,-18,-17,-81,-80,0
Thu,12/29/2022,-30,-30,-120,-120,0
Wed,12/28/2022,-91,-86,-403,-403,0
Tue,12/27/2022,-59,-59,-431,-431,0
Fri,12/23/2022,-11,-11,-203,-203,0
Thu,12/22/2022,-69,-69,-387,-387,0
Wed,12/21/2022,-24,-24,-234,-234,0
Tue,12/20/2022,-93,-89,-381,-381,0
Mon,12/19/2022,-19,-18,-456,-456,0
Fri,12/16/2022,-90,-90,-392,-392,0
Thu,12/15/2022,-53,-53,-292,-292,0
Wed,12/14/2022,-26,-26,-147,-147,0
Tue,12/13/2022,24,29,-126,-124,0
Mon,12/12/2022,-36,-36,-207,-207,0
Fri,12/9/2022,-27,-27,-180,-180,0
Thu,12/8/2022,-35,-34,-159,-143,0
Wed,12/7/2022,-57,-57,-256,-256,0
Tue,12/6/2022,-10,-10,-244,-244,0
Mon,12/5/2022,8,8,-70,-60,0
Fri,12/2/2022,-11,-11,-32,-31,0
Thu,12/1/2022,24,38,13,18,0
Wed,11/30/2022,-6,-6,-104,-85,0
Tue,11/29/2022,-4,-4,-107,-103,0
Mon,11/28/2022,-7,-7,-93,-71,0
Fri,11/25/2022,2,4,-57,-57,0
Wed,11/23/2022,-6,-2,-57,-57,0
Tue,11/22/2022,-4,-4,-138,-129,0
Mon,11/21/2022,-19,-19,-179,-179,0
Fri,11/18/2022,8,10,-115,-115,0
Thu,11/17/2022,-38,-35,-135,-135,0
Wed,11/16/2022,-11,-11,-98,-98,0
Tue,11/15/2022,-13,-4,-23,-17,0
Mon,11/14/2022,-20,4,-30,-30,0
Fri,11/11/2022,9,9,-42,-42,0
Thu,11/10/2022,4,8,-72,-72,0
Wed,11/9/2022,-58,-54,-426,-426,0
Tue,11/8/2022,-21,-21,-185,-185,0
Mon,11/7/2022,1,1,-172,-172,0
Fri,11/4/2022,-20,-16,-260,-260,0
Thu,11/3/2022,-97,-97,-300,-300,0
Wed,11/2/2022,-13,-10,-132,-132,0
Tue,11/1/2022,28,29,-22,-22,0
Mon,10/31/2022,-8,2,-29,-29,0
Fri,10/28/2022,-17,5,-75,-75,0
Thu,10/27/2022,7,13,-71,-71,0
Wed,10/26/2022,16,28,-12,-12,0
Tue,10/25/2022,-25,-25,-84,-84,0
Mon,10/24/2022,-27,-27,-375,-375,0
Fri,10/21/2022,-68,-68,-385,-385,0
Thu,10/20/2022,-42,-36,-300,-300,0
Wed,10/19/2022,-21,-21,-270,-270,0
Tue,10/18/2022,12,15,-81,-81,0
Mon,10/17/2022,-15,-15,-138,-138,0
Fri,10/14/2022,-1,1,-272,-272,0
Thu,10/13/2022,-323,-323,-887,-887,0
Wed,10/12/2022,-61,-61,-571,-571,0
Tue,10/11/2022,-117,-117,-779,-779,0
Mon,10/10/2022,-78,-63,-601,-601,0
Fri,10/7/2022,-48,-48,-359,-359,0
Thu,10/6/2022,-6,-6,-122,-122,0
Wed,10/5/2022,-12,-12,-140,-140,0
Tue,10/4/2022,-7,-7,-95,-95,0
Mon,10/3/2022,-43,-41,-322,-322,0
Fri,9/30/2022,-64,-62,-517,-517,0
Thu,9/29/2022,-66,-66,-740,-740,0
Wed,9/28/2022,-64,-64,-334,-334,0
Tue,9/27/2022,-31,-28,-862,-862,0
Mon,9/26/2022,-105,-105,-958,-958,0
Fri,9/23/2022,-287,-287,-1201,-1201,0
Thu,9/22/2022,-179,-173,-904,-904,0
Wed,9/21/2022,-55,-55,-586,-586,0
Tue,9/20/2022,-69,-63,-528,-528,0
Mon,9/19/2022,-96,-96,-447,-447,0
Fri,9/16/2022,-98,-98,-451,-451,0
Thu,9/15/2022,-42,-42,-242,-242,0
Wed,9/14/2022,-33,-31,-233,-233,0
Tue,9/13/2022,-17,-17,-173,-173,0
Mon,9/12/2022,6,12,-38,-38,0
Fri,9/9/2022,-17,2,-47,-47,0
Thu,9/8/2022,-22,-22,-166,-166,0
Wed,9/7/2022,-54,-54,-260,-260,0
Tue,9/6/2022,-47,-38,-361,-361,0
Fri,9/2/2022,-8,-7,-174,-174,0
Thu,9/1/2022,-114,-114,-391,-391,0
Wed,8/31/2022,-14,-14,-203,-203,0
Tue,8/30/2022,-5,-5,-238,-238,0
Mon,8/29/2022,-77,-77,-203,-203,0
Fri,8/26/2022,10,10,-135,-135,0
Thu,8/25/2022,9,9,-46,-46,0
Wed,8/24/2022,-17,-17,-90,-90,0
Tue,8/23/2022,-16,-16,-109,-109,0
Mon,8/22/2022,-41,-39,-153,-153,0
Fri,8/19/2022,-3,-3,-63,-63,0
Thu,8/18/2022,4,11,-5,7,0
Wed,8/17/2022,4,5,-25,-25,0
Tue,8/16/2022,3,47,3,30,0
Mon,8/15/2022,6,65,6,37,0
Fri,8/12/2022,8,52,6,36,0
Thu,8/11/2022,20,47,20,38,0
Wed,8/10/2022,10,18,-9,-9,0
Tue,8/9/2022,-22,2,-49,-49,0
Mon,8/8/2022,30,67,30,67,0
Fri,8/5/2022,-6,9,-13,2,0
Thu,8/4/2022,8,23,8,18,0
Wed,8/3/2022,-4,4,-6,-3,0
Tue,8/2/2022,-15,-13,-42,-42,0
Mon,8/1/2022,-10,-10,-42,-38,0
Fri,7/29/2022,8,10,-30,-30,0
Thu,7/28/2022,6,7,-47,-47,0
Wed,7/27/2022,-6,-3,-86,-86,0
Tue,7/26/2022,-7,-7,-120,-120,0
Mon,7/25/2022,-4,-4,-94,-94,0
Fri,7/22/2022,5,5,-54,-54,0
Thu,7/21/2022,-2,-1,-44,-44,0
Wed,7/20/2022,-1,4,-17,-17,0
Tue,7/19/2022,-1,-1,-58,-58,0
Mon,7/18/2022,4,4,-78,-78,0
Fri,7/15/2022,-3,-3,-128,-128,0
Thu,7/14/2022,-97,-97,-430,-430,0
Wed,7/13/2022,-75,-75,-273,-273,0
Tue,7/12/2022,-25,-25,-184,-184,0
Mon,7/11/2022,-4,-3,-156,-156,0
Fri,7/8/2022,-1,-1,-56,-56,0
Thu,7/7/2022,-8,-8,-94,-94,0
Wed,7/6/2022,-9,-5,-182,-182,0
Tue,7/5/2022,-102,-90,-457,-457,0
Fri,7/1/2022,-36,-36,-303,-303,0
Thu,6/30/2022,-96,-90,-514,-514,0
Wed,6/29/2022,-54,-54,-332,-332,0
Tue,6/28/2022,-87,3,-157,-157,0
Mon,6/27/2022,2,5,-119,-119,0
Fri,6/24/2022,1,1,-114,-114,0
Thu,6/23/2022,-11,-11,-253,-253,0
Wed,6/22/2022,-72,-70,-294,-294,0
Tue,6/21/2022,-1,-1,-167,-167,0
Fri,6/17/2022,-49,-49,-460,-460,0
Thu,6/16/2022,-170,-170,-1133,-1133,0
Wed,6/15/2022,-50,-45,-360,-360,0
Tue,6/14/2022,-49,-45,-1003,-1003,0
Mon,6/13/2022,-298,-253,-1109,-1109,0
Fri,6/10/2022,-85,-85,-439,-439,0
Thu,6/9/2022,-9,-7,-151,-151,0
Wed,6/8/2022,1,1,-74,-74,0
Tue,6/7/2022,-26,-25,-125,-125,0
Mon,6/6/2022,9,10,-135,-135,0
Fri,6/3/2022,-4,-4,-99,-99,0
Thu,6/2/2022,-11,-11,-110,-110,0
Wed,6/1/2022,-73,2,-160,-160,0
Tue,5/31/2022,10,17,-52,-52,0
Fri,5/27/2022,-1,-1,-64,-64,0
Thu,5/26/2022,-181,-16,-181,-133,0
Wed,5/25/2022,-43,-42,-272,-272,0
Tue,5/24/2022,-3,-3,-501,-501,0
Mon,5/23/2022,-262,-6,-262,-187,0
Fri,5/20/2022,-9,-5,-461,-461,0
Thu,5/19/2022,-184,-74,-351,-351,0
Wed,5/18/2022,-16,-16,-329,-329,0
Tue,5/17/2022,2,2,-176,-176,0
Mon,5/16/2022,-23,-23,-313,-313,0
Fri,5/13/2022,-1080,-21,-1080,-303,0
Thu,5/12/2022,-604,-56,-1691,-1691,0
Wed,5/11/2022,-853,-143,-1534,-1534,0
Tue,5/10/2022,-74,-74,-1353,-1353,0
Mon,5/9/2022,-362,-362,-1687,-1687,0
Fri,5/6/2022,-128,-128,-1071,-1071,0
Thu,5/5/2022,-14,-14,-619,-619,0
Wed,5/4/2022,-31,-31,-462,-462,0
Tue,5/3/2022,-28,-28,-250,-250,0
Mon,5/2/2022,-97,-95,-706,-706,0
Fri,4/29/2022,-34,-34,-489,-489,0
Thu,4/28/2022,-42,-31,-788,-788,0
Wed,4/27/2022,-526,-130,-830,-830,0
Tue,4/26/2022,-30,-30,-735,-735,0
Mon,4/25/2022,-14,-14,-595,-595,0
Fri,4/22/2022,-86,-83,-589,-589,0
Thu,4/21/2022,14,16,-380,-380,0
Wed,4/20/2022,16,16,-97,-97,0
Tue,4/19/2022,-34,-34,-217,-217,0
Mon,4/18/2022,-52,-52,-419,-419,0
Thu,4/14/2022,-5,1,-200,-200,0
Wed,4/13/2022,-164,-28,-164,-131,0
Tue,4/12/2022,-221,4,-221,-217,0
Mon,4/11/2022,-55,-55,-337,-337,0
Fri,4/8/2022,-7,-4,-185,-185,0
Thu,4/7/2022,-2,-2,-198,-198,0
Wed,4/6/2022,-4,-4,-251,-251,0
Tue,4/5/2022,3,14,-82,-82,0
Mon,4/4/2022,12,12,-5,1,0
Fri,4/1/2022,-3,-1,-55,-55,0
Thu,3/31/2022,9,13,-34,-34,0
Wed,3/30/2022,8,32,-5,-5,0
Tue,3/29/2022,15,38,-32,15,0
Mon,3/28/2022,3,3,-97,-97,0
Fri,3/25/2022,14,17,-78,-78,0
Thu,3/24/2022,10,11,-26,-26,0
Wed,3/23/2022,39,39,-49,-49,0
Tue,3/22/2022,9,39,-48,-48,0
Mon,3/21/2022,11,31,-59,-59,0
Fri,3/18/2022,18,18,-18,-18,0
Thu,3/17/2022,-40,17,-55,-55,0
Wed,3/16/2022,-11,-11,-220,-220,0
Tue,3/15/2022,-85,-85,-533,-533,0
Mon,3/14/2022,-102,-102,-885,-885,0
Fri,3/11/2022,-5,-3,-393,-393,0
Thu,3/10/2022,-20,-19,-287,-287,0
Wed,3/9/2022,-10,-8,-275,-128,0
Tue,3/8/2022,-112,-56,-740,-740,0
Mon,3/7/2022,-67,-59,-728,-728,0
Fri,3/4/2022,-65,-65,-475,-475,0
Thu,3/3/2022,3,3,-256,-256,0
Wed,3/2/2022,-1,-1,-138,-138,0
Tue,3/1/2022,-2,3,-162,-162,0
Mon,2/28/2022,-20,-20,-123,-123,0
Fri,2/25/2022,-13,-8,-88,-88,0
Thu,2/24/2022,-416,-416,-1315,-1315,0
Wed,2/23/2022,-16,-16,-695,-695,0
Tue,2/22/2022,-6,-6,-628,-628,0
Fri,2/18/2022,-73,-68,-424,-424,0
Thu,2/17/2022,-17,-17,-298,-298,0
Wed,2/16/2022,-14,4,-195,-195,0
Tue,2/15/2022,1,9,-139,-139,0
Mon,2/14/2022,1,1,-362,-362,0
Fri,2/11/2022,-11,-8,-302,-302,0
Thu,2/10/2022,-7,14,-206,-206,0
Wed,2/9/2022,21,27,-84,-84,0
Tue,2/8/2022,-8,-4,-178,-178,0
Mon,2/7/2022,-1,-1,-188,-188,0
Fri,2/4/2022,-19,-19,-302,-302,0
Thu,2/3/2022,-20,-17,-198,-198,0
Wed,2/2/2022,2,10,-58,-58,0
Tue,2/1/2022,8,23,-66,-66,0
Mon,1/31/2022,-10,-9,-178,-178,0
Fri,1/28/2022,-108,-108,-1132,-1132,0
Thu,1/27/2022,-136,-3,-821,-821,0
