,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Symbol,Error
0,0.0,0.0,0.0,AFRIW,No data
1,1.0,1.0,1.0,AGBAW,No data
2,2.0,2.0,2.0,AGGRW,No data
3,3.0,3.0,3.0,AGRIW,No data
4,4.0,4.0,4.0,AHRNW,No data
5,5.0,5.0,5.0,AIBBR,No data
6,6.0,6.0,6.0,AIMDW,No data
7,7.0,7.0,7.0,ALPAW,No data
8,8.0,8.0,8.0,ALSAR,No data
9,9.0,9.0,9.0,ALSAW,No data
10,10.0,10.0,10.0,ALTIW,No data
11,11.0,11.0,11.0,ALVOW,No data
12,12.0,12.0,12.0,ANGHW,No data
13,13.0,13.0,13.0,ANZUW,No data
14,14.0,14.0,14.0,AOGOW,No data
15,15.0,15.0,15.0,APACW,No data
16,16.0,16.0,16.0,APCXW,No data
17,17.0,17.0,17.0,APMIW,No data
18,18.0,18.0,18.0,APPHW,No data
19,19.0,19.0,19.0,APTMW,No data
20,20.0,20.0,20.0,APXIW,No data
21,21.0,21.0,21.0,AQUNR,No data
22,22.0,22.0,22.0,ARBEW,No data
23,23.0,23.0,23.0,AREBW,No data
24,24.0,24.0,24.0,ARIZW,No data
25,25.0,25.0,25.0,ARKOW,No data
26,26.0,26.0,26.0,ARRWW,No data
27,27.0,27.0,27.0,ARTEW,No data
28,28.0,28.0,28.0,ARTLW,No data
29,29.0,29.0,29.0,ASCAR,No data
30,30.0,30.0,30.0,ASCBR,No data
31,31.0,31.0,31.0,ASCBW,No data
32,32.0,32.0,32.0,ASPAW,No data
33,33.0,33.0,33.0,ASTLW,No data
34,34.0,34.0,34.0,ASTSW,No data
35,35.0,35.0,35.0,ATAKR,No data
36,36.0,36.0,36.0,ATAKW,No data
37,37.0,37.0,37.0,ATMVR,No data
38,38.0,38.0,38.0,ATNFW,No data
39,39.0,39.0,39.0,AUROW,No data
40,40.0,40.0,40.0,AUUDW,No data
41,41.0,41.0,41.0,AVHIW,No data
42,42.0,42.0,42.0,AVPTW,No data
43,43.0,43.0,43.0,AWINW,No data
44,44.0,44.0,44.0,BAERW,No data
45,45.0,45.0,45.0,BCDAW,No data
46,46.0,46.0,46.0,BCSAW,No data
47,47.0,47.0,47.0,BCTXW,No data
48,48.0,48.0,48.0,BEATW,No data
49,49.0,49.0,49.0,BEEMW,No data
50,50.0,50.0,50.0,BFIIW,No data
51,51.0,51.0,51.0,BFRGW,No data
52,52.0,52.0,52.0,BFRIW,No data
53,53.0,53.0,53.0,BIAFW,No data
54,54.0,54.0,54.0,BIOSW,No data
55,55.0,55.0,55.0,BLDEW,No data
56,56.0,56.0,56.0,BLNGW,No data
57,57.0,57.0,57.0,BMAQR,No data
58,58.0,58.0,58.0,BMAQW,No data
59,59.0,59.0,59.0,BNGOW,No data
60,60.0,60.0,60.0,BNIXR,No data
61,61.0,61.0,61.0,BNIXW,No data
62,62.0,62.0,62.0,BNNRW,No data
63,63.0,63.0,63.0,BPACW,No data
64,64.0,64.0,64.0,BRACR,No data
65,65.0,65.0,65.0,BREZR,No data
66,66.0,66.0,66.0,BREZW,No data
67,67.0,67.0,67.0,BRIVW,No data
68,68.0,68.0,68.0,BRKHW,No data
69,69.0,69.0,69.0,BRLIR,No data
70,70.0,70.0,70.0,BRLIW,No data
71,71.0,71.0,71.0,BROGW,No data
72,72.0,72.0,72.0,BRSHW,No data
73,73.0,73.0,73.0,BTBDW,No data
74,74.0,74.0,74.0,BTMDW,No data
75,75.0,75.0,75.0,BWACW,No data
76,76.0,76.0,76.0,BWAQR,No data
77,77.0,77.0,77.0,BWCAW,No data
78,78.0,78.0,78.0,BYNOW,No data
79,79.0,79.0,79.0,BZFDW,No data
80,80.0,80.0,80.0,CBRGW,No data
81,81.0,81.0,81.0,CCAIW,No data
82,82.0,82.0,82.0,CCTSW,No data
83,83.0,83.0,83.0,CDAQW,No data
84,84.0,84.0,84.0,CDIOW,No data
85,85.0,85.0,85.0,CDROW,No data
86,86.0,86.0,86.0,CEADW,No data
87,87.0,87.0,87.0,CELUW,No data
88,88.0,88.0,88.0,CFFEW,No data
89,89.0,89.0,89.0,CHEAW,No data
90,90.0,90.0,90.0,CHEKZ,No data
91,91.0,91.0,91.0,CIFRW,No data
92,92.0,92.0,92.0,CIIGW,No data
93,93.0,93.0,93.0,CINGW,No data
94,94.0,94.0,94.0,CITEW,No data
95,95.0,95.0,95.0,CLAYW,No data
96,96.0,96.0,96.0,CLBTW,No data
97,97.0,97.0,97.0,CLNNW,No data
98,98.0,98.0,98.0,CLOER,No data
