Day,Date,Open,High,Low,Close,Volume
Thu,3/2/2023,11830.09,12074.59,11830.09,12044.87,938953984
Wed,3/1/2023,12026.72,12054.48,11906.58,11938.57,966467904
Tue,2/28/2023,12041.75,12146.52,12021.32,12042.12,1013451328
Mon,2/27/2023,12106.79,12159.64,12034.61,12057.79,854931328
Fri,2/24/2023,11979.8,12018.32,11900.84,11969.65,944305280
Thu,2/23/2023,12224.44,12227.4,12003.31,12180.14,1106859520
Wed,2/22/2023,12085.67,12156.21,12006.04,12066.27,1033008576
Tue,2/21/2023,12205.21,12257.06,12058.23,12060.3,1025429632
Fri,2/17/2023,12352.3,12385.52,12233.79,12358.18,988686720
Thu,2/16/2023,12495.07,12653.4,12440,12442.48,1094133504
Wed,2/15/2023,12531.6,12689.34,12486.42,12687.89,976836928
Tue,2/14/2023,12413.1,12627.4,12356.32,12590.89,1043207872
Mon,2/13/2023,12356.5,12522.78,12313.45,12502.31,956048512
Fri,2/10/2023,12306.59,12375.72,12204.21,12304.92,1028488512
Thu,2/9/2023,12677.54,12679.54,12327.44,12381.17,1224372736
Wed,2/8/2023,12680.03,12709.45,12471.12,12495.38,1158873216
Tue,2/7/2023,12474.95,12771.58,12419.71,12728.27,1213178624
Mon,2/6/2023,12468.8,12558.88,12411.88,12464.51,1005197184
Fri,2/3/2023,12520.95,12828.71,12520.95,12573.36,1392466048
Thu,2/2/2023,12655.18,12880.98,12600.76,12803.14,1664132864
Wed,2/1/2023,12087.92,12458.88,12010.73,12363.1,1339046656
Tue,1/31/2023,11915.94,12104.13,11915.94,12101.93,1110893184
Mon,1/30/2023,12047.16,12087.68,11906.11,11912.39,1144186752
Fri,1/27/2023,12000.21,12248.15,11999.87,12166.6,1496577408
Thu,1/26/2023,11972.57,12055.81,11853.37,12051.48,1060909120
Wed,1/25/2023,11636.01,11841.81,11550.07,11814.69,1079434112
Tue,1/24/2023,11802.95,11889.37,11780.07,11846.64,937419328
Mon,1/23/2023,11652,11918.86,11617.83,11872.54,1168768256
Fri,1/20/2023,11363.85,11623.2,11329.54,11619.03,1103088128
Thu,1/19/2023,11345.19,11388.46,11251.94,11295.67,982366080
Wed,1/18/2023,11636.61,11690.27,11403.31,11410.29,1018965696
Tue,1/17/2023,11531.54,11615.95,11484.02,11557.19,979384512
Fri,1/13/2023,11362.13,11547.96,11347.6,11541.48,921261824
Thu,1/12/2023,11441.46,11500.86,11246.02,11459.61,1037821376
Wed,1/11/2023,11259.16,11403.89,11220.75,11402.52,1014101632
Tue,1/10/2023,11069.05,11207.56,11050.68,11205.78,911497024
Mon,1/9/2023,11133.07,11304.84,11085.33,11108.45,1049648384
Fri,1/6/2023,10807.46,11082.59,10696.42,11040.35,1149972992
Thu,1/5/2023,10837.25,10842.33,10728.26,10741.22,1006729600
Wed,1/4/2023,10949.34,10981.46,10785.53,10914.8,1086382848
