Day,Date,Open,High,Low,Close,Volume
Mon,3/13/2023,53,59,52,55,0
Fri,3/10/2023,54,55,52,54,0
Thu,3/9/2023,60,61,54,54,0
Wed,3/8/2023,58,60,57,60,0
Tue,3/7/2023,62,64,58,60,0
Mon,3/6/2023,65,68,62,62,0
Fri,3/3/2023,60,65,60,65,0
Thu,3/2/2023,50,61,50,59,0
Wed,3/1/2023,53,58,50,52,0
Tue,2/28/2023,55,61,52,54,0
Mon,2/27/2023,62,64,57,58,0
Fri,2/24/2023,57,58,54,58,0
Thu,2/23/2023,66,66,56,63,0
Wed,2/22/2023,65,65,60,63,0
Tue,2/21/2023,66,68,60,63,0
Fri,2/17/2023,69,69,65,68,0
Thu,2/16/2023,70,73,70,71,0
Wed,2/15/2023,70,74,69,72,0
Tue,2/14/2023,68,72,67,71,0
Mon,2/13/2023,67,70,66,70,0
Fri,2/10/2023,67,68,65,67,0
Thu,2/9/2023,68,71,67,67,0
Wed,2/8/2023,66,67,65,66,0
Tue,2/7/2023,64,73,63,70,0
Mon,2/6/2023,65,66,63,65,0
Fri,2/3/2023,70,73,66,66,0
Thu,2/2/2023,72,79,71,76,0
Wed,2/1/2023,61,71,59,65,0
Tue,1/31/2023,59,63,57,63,0
Mon,1/30/2023,60,63,59,59,0
Fri,1/27/2023,57,63,57,63,0
Thu,1/26/2023,57,59,56,58,0
Wed,1/25/2023,55,58,32,57,0
Tue,1/24/2023,59,59,58,58,0
Mon,1/23/2023,54,59,24,58,0
Fri,1/20/2023,52,54,50,53,0
Thu,1/19/2023,50,54,50,51,0
Wed,1/18/2023,58,59,52,53,0
Tue,1/17/2023,57,59,55,58,0
Fri,1/13/2023,56,59,51,57,0
Thu,1/12/2023,58,59,54,56,0
Wed,1/11/2023,53,57,52,56,0
Tue,1/10/2023,49,53,49,53,0
Mon,1/9/2023,51,53,48,49,0
Fri,1/6/2023,46,50,44,49,0
Thu,1/5/2023,40,43,20,39,0
Wed,1/4/2023,46,47,40,44,0
Tue,1/3/2023,46,47,36,42,0
Fri,12/30/2022,41,43,20,43,0
Thu,12/29/2022,41,44,41,44,0
Wed,12/28/2022,42,44,38,38,0
Tue,12/27/2022,42,43,40,43,0
Fri,12/23/2022,39,42,36,42,0
Thu,12/22/2022,40,40,35,39,0
