Day,Date,Open,High,Low,Close,Volume
Thu,3/2/2023,57.392,59.813,56.924,59.771,0
Wed,3/1/2023,59.94,60.535,58.454,59.558,0
Tue,2/28/2023,60.28,61.257,59.686,60.111,0
Mon,2/27/2023,61.095,62.792,59.983,60.62,0
Fri,2/24/2023,58.828,60.356,57.64,60.102,0
Thu,2/23/2023,61.953,62.803,58.998,61.8,0
Wed,2/22/2023,60.297,62.208,59.745,60.085,0
Tue,2/21/2023,64.713,64.841,59.49,59.873,0
Fri,2/17/2023,66.695,67.035,64.698,66.652,0
Thu,2/16/2023,67.063,69.257,66.341,67.375,0
Wed,2/15/2023,67.374,69.835,67.034,69.707,0
Tue,2/14/2023,66.978,69.733,66.582,68.575,0
Mon,2/13/2023,66.455,68.758,66.285,68.588,0
Fri,2/10/2023,65.481,66.624,64.888,66.582,0
Thu,2/9/2023,69.983,70.11,65.495,65.876,0
Wed,2/8/2023,69.56,70.364,67.655,68.29,0
Tue,2/7/2023,68.811,70.8,67.372,70.207,0
Mon,2/6/2023,70.77,70.812,68.528,69.276,0
Fri,2/3/2023,72.105,73.035,70.879,71.724,0
Thu,2/2/2023,72.666,75.063,72.485,73.711,0
Wed,2/1/2023,68.526,73.088,67.512,71.694,0
Tue,1/31/2023,65.372,69.215,65.245,69.215,0
Mon,1/30/2023,65.232,66.751,64.246,64.289,0
Fri,1/27/2023,64.838,67.51,64.684,66.582,0
Thu,1/26/2023,65.006,65.344,62.769,65.344,0
Wed,1/25/2023,61.392,63.74,30.224,63.74,0
Tue,1/24/2023,62.21,63.798,61.577,63.122,0
Mon,1/23/2023,61.73,64.361,30.704,63.349,0
Fri,1/20/2023,58.028,61.181,57.311,61.181,0
Thu,1/19/2023,58.088,58.871,56.426,57.986,0
Wed,1/18/2023,63.238,64.307,58.846,59.183,0
Tue,1/17/2023,62.294,62.816,61.467,61.762,0
Fri,1/13/2023,59.233,62.21,58.727,61.915,0
Thu,1/12/2023,58.913,61.762,57.269,60.793,0
Wed,1/11/2023,54.633,57.606,54.633,57.396,0
Tue,1/10/2023,50.274,53.182,49.389,53.182,0
Mon,1/9/2023,50.337,52.825,49.705,50.422,0
Fri,1/6/2023,44.14,49.241,43.803,48.946,0
Thu,1/5/2023,41.779,42.411,20.531,41.4,0
Wed,1/4/2023,40.809,43.634,40.725,42.959,0
Tue,1/3/2023,40.396,41.702,37.395,39.207,0
Fri,12/30/2022,38.342,39.301,19.04,39.09,0
Thu,12/29/2022,35.97,39.714,35.97,39.377,0
Wed,12/28/2022,39.571,40.202,35.086,35.255,0
Tue,12/27/2022,39.26,40.563,38.588,39.529,0
Fri,12/23/2022,37.463,39.689,37.001,39.605,0
Thu,12/22/2022,37.883,37.967,34.187,37.421,0
Wed,12/21/2022,38.765,40.571,38.471,40.067,0
Tue,12/20/2022,35.981,38.067,35.729,37.043,0
Mon,12/19/2022,38.131,38.41,35.015,36.066,0
Fri,12/16/2022,37.663,38.3,35.678,37.921,0
Thu,12/15/2022,42.118,42.287,19.983,39.891,0
Wed,12/14/2022,46.257,48.087,43.968,45.523,0
Tue,12/13/2022,50.631,51.178,45.439,46.322,0
Mon,12/12/2022,42.198,44.249,41.737,43.955,0
Fri,12/9/2022,42.079,44.174,21.5,41.785,0
Thu,12/8/2022,43.886,45.645,42.731,43.36,0
Wed,12/7/2022,42.755,44.221,42.755,43.114,0
Tue,12/6/2022,46.125,46.837,42.253,43.258,0
Mon,12/5/2022,50.294,50.294,45.977,46.144,0
Fri,12/2/2022,48.846,52.035,48.72,51.238,0
Thu,12/1/2022,51.595,52.225,50.252,51.154,0
Wed,11/30/2022,44.813,50,43.133,50,0
Tue,11/29/2022,43.265,45.359,43.013,44.225,0
Mon,11/28/2022,42.995,43.247,42.743,43.163,0
Fri,11/25/2022,46.164,47.673,45.996,47.002,0
Wed,11/23/2022,44.258,46.312,44.09,45.851,0
Tue,11/22/2022,42.666,44.468,21.626,44.342,0
Mon,11/21/2022,40.821,41.408,39.983,41.115,0
Fri,11/18/2022,41.911,42.037,40.36,41.534,0
Thu,11/17/2022,37.62,39.69,37.201,39.606,0
Wed,11/16/2022,42.026,42.235,40.31,40.687,0
Tue,11/15/2022,44.37,45.207,42.361,43.198,0
Mon,11/14/2022,42.875,44.035,40.561,40.645,0
Fri,11/11/2022,42.582,44.51,41.995,43.588,0
Thu,11/10/2022,36.505,41.702,36.505,41.66,0
Wed,11/9/2022,33.626,34.437,30.876,31.043,0
Tue,11/8/2022,34.841,36.516,33.04,34.925,0
Mon,11/7/2022,33.473,34.212,32.301,34.17,0
Fri,11/4/2022,32.107,33.626,29.653,32.539,0
Thu,11/3/2022,27.311,30.435,26.642,29.306,0
Wed,11/2/2022,32.93,35.634,29.486,29.695,0
Tue,11/1/2022,35.201,35.201,32.693,33.514,0
Mon,10/31/2022,31.562,33.721,31.52,33.098,0
Fri,10/28/2022,28.737,32.434,16.071,30.76,0
Thu,10/27/2022,28.75,30.938,27.948,28.156,0
Wed,10/26/2022,26.858,30.066,26.484,27.16,0
Tue,10/25/2022,23.415,26.525,23.332,26.235,0
Mon,10/24/2022,22.554,23.456,21.757,22.917,0
Fri,10/21/2022,20.447,23.115,20.157,23.115,0
Thu,10/20/2022,21.316,22.723,19.536,20.074,0
Wed,10/19/2022,21.408,22.236,20.041,21.482,0
Tue,10/18/2022,22.981,23.768,20.92,22.153,0
Mon,10/17/2022,19.776,20.994,19.693,20.497,0
Fri,10/14/2022,20.896,21.6,16.915,16.998,0
Thu,10/13/2022,15.133,20.232,14.469,19.942,0
Wed,10/12/2022,17.123,17.786,8.043,16.957,0
Tue,10/11/2022,17.164,19.196,16.376,17.537,0
Mon,10/10/2022,19.37,19.701,8.458,17.827,0
Fri,10/7/2022,20.647,20.73,18.374,18.872,0
Thu,10/6/2022,22.139,23.217,21.6,21.932,0
Wed,10/5/2022,21.36,23.383,20.274,22.595,0
Tue,10/4/2022,19.743,22.771,19.743,22.771,0
Mon,10/3/2022,16.425,18.125,15.595,17.42,0
Fri,9/30/2022,14.392,15.969,13.687,14.351,0
Thu,9/29/2022,15.512,15.512,13.189,14.309,0
Wed,9/28/2022,13.48,17.462,13.273,16.715,0
Tue,9/27/2022,14.185,15.056,12.277,12.899,0
Mon,9/26/2022,14.772,15.927,12.526,13.356,0
Fri,9/23/2022,17.593,17.593,13.693,15.104,0
Thu,9/22/2022,22.739,22.739,20.125,20.498,0
Wed,9/21/2022,25.757,26.669,22.895,22.937,0
Tue,9/20/2022,25.55,25.55,23.89,24.637,0
Mon,9/19/2022,24.088,26.918,12.153,26.835,0
Fri,9/16/2022,25.508,25.912,23.963,25.622,0
Thu,9/15/2022,28.099,30.359,13.007,27.499,0
Wed,9/14/2022,28.896,29.628,27.656,29.091,0
Tue,9/13/2022,30.839,31.666,13.559,28.896,0
Mon,9/12/2022,33.844,35.773,33.471,34.725,0
Fri,9/9/2022,30.604,32.851,30.562,32.396,0
Thu,9/8/2022,27.107,29.363,26.529,29.074,0
Wed,9/7/2022,25.041,28.347,24.959,27.893,0
Tue,9/6/2022,27.025,27.231,24.876,25.289,0
Fri,9/2/2022,28.212,29.752,25.413,25.95,0
Thu,9/1/2022,26.322,26.642,24.421,26.642,0
Wed,8/31/2022,29.05,30.083,14.05,27.769,0
Tue,8/30/2022,32.438,32.521,28.719,29.132,0
Mon,8/29/2022,31.888,33.264,15.413,32.149,0
