Day,Date,Open,High,Low,Close,Volume
Thu,3/2/2023,40.31,41.95,40.25,41.76,4457835
Wed,3/1/2023,41.64,41.83,40.78,41.06,4282544
Tue,2/28/2023,41.67,42.47,41.57,41.73,3377889
Mon,2/27/2023,42.19,42.57,41.7,41.87,4286697
Fri,2/24/2023,41.26,41.6,40.75,41.26,6150447
Thu,2/23/2023,43.05,43.08,41.49,42.73,6106755
Wed,2/22/2023,42.12,42.6,41.53,42,4778655
Tue,2/21/2023,42.9,43.32,41.91,41.94,3551122
Fri,2/17/2023,44.04,44.26,43.16,44.03,3823185
Thu,2/16/2023,44.99,46.23,44.64,44.67,5546277
Wed,2/15/2023,45.21,46.5,45.01,46.49,4641225
Tue,2/14/2023,44.63,46.06,44.04,45.75,6351913
Mon,2/13/2023,44.14,45.28,43.79,45.14,3960691
Fri,2/10/2023,43.65,44.26,42.99,43.73,4759655
Thu,2/9/2023,46.42,46.47,43.87,44.29,4940186
Wed,2/8/2023,46.39,46.67,44.93,45.12,4172966
Tue,2/7/2023,44.91,47.14,44.57,46.83,8848300
Mon,2/6/2023,44.93,45.63,44.54,44.96,6635775
Fri,2/3/2023,45.36,47.62,45.25,45.72,8871587
Thu,2/2/2023,46.2,48.01,45.96,47.43,7573618
Wed,2/1/2023,42.4,44.98,41.79,44.31,8334316
Tue,1/31/2023,41.23,42.48,41.21,42.47,5303717
Mon,1/30/2023,42,42.42,41.14,41.2,4705367
Fri,1/27/2023,41.75,43.56,41.73,42.97,5517732
Thu,1/26/2023,41.55,42.19,40.79,42.14,4576244
Wed,1/25/2023,39.48,40.76,38.74,40.57,6217502
Tue,1/24/2023,40.47,41.1,40.32,40.79,5603481
Mon,1/23/2023,39.43,41.3,39.25,40.98,7703609
Fri,1/20/2023,37.62,39.31,37.35,39.26,3496138
Thu,1/19/2023,37.47,37.79,36.85,37.18,4190944
Wed,1/18/2023,39.42,39.84,37.9,37.94,3661742
Tue,1/17/2023,38.75,39.33,38.44,38.94,2786543
Fri,1/13/2023,37.59,38.9,37.5,38.81,3559054
Thu,1/12/2023,38.05,38.58,36.86,38.28,6562663
Wed,1/11/2023,36.95,37.95,36.73,37.92,3273837
Tue,1/10/2023,35.78,36.68,35.64,36.68,3629698
Mon,1/9/2023,36.14,37.32,35.89,36.07,5222769
Fri,1/6/2023,34.18,35.9,33.42,35.6,4534189
Thu,1/5/2023,34.41,34.43,33.67,33.74,4385360
Wed,1/4/2023,35.11,35.31,34.03,34.88,5351616
Tue,1/3/2023,35.64,36.03,33.92,34.55,5372225
Fri,12/30/2022,34.31,35.05,33.97,35.04,3244050
Thu,12/29/2022,34.16,35.31,34,35.07,3915121
Wed,12/28/2022,34.26,34.87,33.38,33.45,3661003
Tue,12/27/2022,35.23,35.25,34.24,34.36,3586592
Fri,12/23/2022,34.89,35.56,34.38,35.43,3989812
Thu,12/22/2022,36.23,36.25,34.07,35.26,6066995
Wed,12/21/2022,36.32,37.43,36.09,37.1,3792065
Tue,12/20/2022,35.77,36.51,35.36,36.04,4285794
Mon,12/19/2022,37.21,37.23,35.76,36.14,3949131
Fri,12/16/2022,37.68,38.12,36.71,37.15,10413849
Thu,12/15/2022,39.4,39.61,37.54,37.9,6936995
Wed,12/14/2022,41.06,42.04,39.71,40.63,6061874
Tue,12/13/2022,43.54,43.59,40.48,41.27,8360684
Mon,12/12/2022,39.45,40.4,39.17,40.39,2642860
Fri,12/9/2022,39.64,40.42,39.28,39.43,3558116
Thu,12/8/2022,39.39,40.2,38.81,39.95,2988092
Wed,12/7/2022,38.99,39.58,38.55,39.01,5580664
Tue,12/6/2022,41,41.04,38.95,39.34,4794298
Mon,12/5/2022,41.85,42.23,40.63,41.04,3313030
Fri,12/2/2022,41.34,42.74,41.28,42.51,3863098
Thu,12/1/2022,42.84,43.41,42.02,42.85,3927058
