Day,Date,Open,High,Low,Close,Volume
Thu,3/2/2023,36.6,47.2,35.2,45.6,0
Wed,3/1/2023,42.6,44.8,40.4,42.4,0
Tue,2/28/2023,47,49.6,43.4,43.4,0
Mon,2/27/2023,51.6,54,45,47.6,0
Fri,2/24/2023,41.6,47,38.8,45.4,0
Thu,2/23/2023,52.6,54,42.4,51.6,0
Wed,2/22/2023,50,54,44,48.4,0
Tue,2/21/2023,58.8,59.6,48.4,49.4,0
Fri,2/17/2023,60.8,65.8,59.4,64.6,0
Thu,2/16/2023,63,67.8,62.2,64.6,0
Wed,2/15/2023,65,69.2,64.8,69,0
Tue,2/14/2023,68.4,73.8,64.6,69.2,0
Mon,2/13/2023,65.4,72,64.8,72,0
Fri,2/10/2023,61.8,65.8,60,65.6,0
Thu,2/9/2023,70,70,61.6,62.4,0
Wed,2/8/2023,69,70.2,67.4,67.6,0
Tue,2/7/2023,66.4,72.8,63.4,71.6,0
Mon,2/6/2023,67.8,69.4,65.8,67.6,0
Fri,2/3/2023,71.6,72.8,67.8,69.6,0
Thu,2/2/2023,74.2,77.4,72.6,74.2,0
Wed,2/1/2023,73,79.4,68.2,75.8,0
Tue,1/31/2023,68.8,74.2,66.8,74,0
Mon,1/30/2023,69,72.8,66.2,67,0
Fri,1/27/2023,70.2,73.8,69,72.4,0
Thu,1/26/2023,71,72.8,67.4,72.8,0
Wed,1/25/2023,62.4,69,32.2,69,0
Tue,1/24/2023,66.2,71.4,62.8,69.8,0
Mon,1/23/2023,62.4,73.8,29.6,69.2,0
Fri,1/20/2023,51.4,63.4,47.8,62.8,0
Thu,1/19/2023,54.8,55.8,46.6,49,0
Wed,1/18/2023,76,78.2,59.8,60,0
Tue,1/17/2023,78.2,80,74.8,75.8,0
Fri,1/13/2023,72.4,77.4,70.2,77,0
Thu,1/12/2023,77.2,78.6,72,77.2,0
Wed,1/11/2023,69,77,68.2,76.8,0
Tue,1/10/2023,65.2,68,61.6,67.8,0
Mon,1/9/2023,68.2,73.4,64.4,64.6,0
Fri,1/6/2023,53.2,69.4,48.8,67.8,0
Thu,1/5/2023,49.8,49.8,23,46,0
Wed,1/4/2023,53.4,61.6,50.8,57.4,0
Tue,1/3/2023,53.4,59.2,41.2,48.6,0
Fri,12/30/2022,49.6,51.6,23,49.4,0
Thu,12/29/2022,46.6,59.4,46.6,56.8,0
Wed,12/28/2022,54.8,58,43.4,44,0
Tue,12/27/2022,55.4,58.4,52.2,56.6,0
Fri,12/23/2022,50.6,58,46.6,57,0
Thu,12/22/2022,56,56,39.4,52.6,0
Wed,12/21/2022,58.4,64.4,57,62.6,0
Tue,12/20/2022,50,56.8,48.2,53.2,0
Mon,12/19/2022,57.8,61.2,48.4,52.6,0
Fri,12/16/2022,59.2,60.4,54.4,58.8,0
Thu,12/15/2022,75.2,75.2,33.2,67.2,0
Wed,12/14/2022,83,83.8,77,79.4,0
Tue,12/13/2022,88.6,89,80.6,82.6,0
Mon,12/12/2022,78.2,82.2,76.8,81.6,0
Fri,12/9/2022,78,81,40.6,78,0
Thu,12/8/2022,80,82.8,79.2,80.4,0
Wed,12/7/2022,78,81.2,77.8,79.2,0
Tue,12/6/2022,82.6,82.6,76.6,78.6,0
Mon,12/5/2022,89.6,90.2,82.4,83.6,0
Fri,12/2/2022,89.4,91.2,88.4,91,0
Thu,12/1/2022,93,93,89.8,91.2,0
Wed,11/30/2022,86.2,92.6,84.6,92.6,0
Tue,11/29/2022,85.6,87.8,85,86,0
Mon,11/28/2022,86.2,86.2,85.6,86,0
Fri,11/25/2022,89.2,90.6,88.8,89.8,0
Wed,11/23/2022,88,89.4,87,89,0
Tue,11/22/2022,86,87.8,43,87.2,0
Mon,11/21/2022,83.6,84.8,82.2,83.6,0
Fri,11/18/2022,82,83.2,80.4,83,0
Thu,11/17/2022,76.4,80,75.4,79.2,0
Wed,11/16/2022,81.6,82.8,80.4,81,0
Tue,11/15/2022,83.2,83.6,78.6,81.8,0
Mon,11/14/2022,82,84.4,78.8,78.8,0
Fri,11/11/2022,82.8,83.2,79.2,82,0
Thu,11/10/2022,72.4,82.6,72.4,82.4,0
Wed,11/9/2022,62.6,65.8,59.2,59.8,0
Tue,11/8/2022,63,69,60.8,65.2,0
Mon,11/7/2022,61.6,62.8,57.8,62.4,0
Fri,11/4/2022,57.4,60.2,50.8,57.8,0
Thu,11/3/2022,45.6,53,43.2,49.4,0
Wed,11/2/2022,61,67.8,49.8,50.2,0
Tue,11/1/2022,66,67.2,61.2,62.4,0
Mon,10/31/2022,61.8,64.6,59,62.2,0
Fri,10/28/2022,52,64.329,33.6,64.329,0
Thu,10/27/2022,54,56.6,49.8,50.4,0
Wed,10/26/2022,49.8,56.2,47,49.2,0
Tue,10/25/2022,37,47.2,36.8,46.4,0
Mon,10/24/2022,31.2,36.2,29.4,35.4,0
Fri,10/21/2022,18.6,29.6,17.8,28.8,0
Thu,10/20/2022,21.4,26.4,17.6,18.4,0
Wed,10/19/2022,23,25.8,18.8,21.8,0
Tue,10/18/2022,27.2,29.4,21.2,25,0
Mon,10/17/2022,16.8,19.4,15.6,17.8,0
Fri,10/14/2022,20.2,22.8,11.2,11.6,0
Thu,10/13/2022,8.4,19.6,8,17.6,0
Wed,10/12/2022,12.2,13,5.8,10.8,0
Tue,10/11/2022,11,15.8,10.2,11.8,0
Mon,10/10/2022,13.2,15,6.4,12.6,0
Fri,10/7/2022,14.2,14.2,10.2,12.2,0
Thu,10/6/2022,20.4,23.8,17.4,18.4,0
Wed,10/5/2022,17.4,24.2,16.4,22,0
Tue,10/4/2022,13.4,21.6,13.4,21.2,0
Mon,10/3/2022,4.8,9.8,4.4,8.6,0
Fri,9/30/2022,5,6.4,3,3.2,0
Thu,9/29/2022,6.8,6.8,4.2,5.6,0
Wed,9/28/2022,4.2,9,3.8,7.6,0
Tue,9/27/2022,4.4,6,3,3.4,0
Mon,9/26/2022,4.4,5.8,3,3,0
Fri,9/23/2022,7,7,2.2,5.2,0
Thu,9/22/2022,15.8,15.8,11.4,12,0
Wed,9/21/2022,27.2,29.8,16,16.2,0
Tue,9/20/2022,26.2,26.6,19,23.2,0
Mon,9/19/2022,22.6,33.4,14,32,0
Fri,9/16/2022,27.8,28.6,22,26,0
Thu,9/15/2022,36.6,41.8,18.6,33.2,0
Wed,9/14/2022,38.6,41,33.4,38.8,0
Tue,9/13/2022,56,56,19.4,39.6,0
Mon,9/12/2022,71.2,75.4,68.4,72.8,0
Fri,9/9/2022,61.2,67.6,58.8,66.2,0
Thu,9/8/2022,44,57,43,57,0
Wed,9/7/2022,35,51.4,35,50,0
Tue,9/6/2022,39.2,40,31.8,34.6,0
Fri,9/2/2022,48.6,53.2,33.4,35.6,0
Thu,9/1/2022,36.8,44.4,32,44.4,0
Wed,8/31/2022,51.8,55.4,24.2,43,0
Tue,8/30/2022,59.4,61,47,50.6,0
Mon,8/29/2022,58,64.4,29.6,60,0
Fri,8/26/2022,84.8,85.6,64.4,64.6,0
Thu,8/25/2022,81.8,85,81.2,85,0
Wed,8/24/2022,77.8,82.6,75.8,80.4,0
Tue,8/23/2022,79.4,82.4,77,78.2,0
Mon,8/22/2022,83.6,83.6,77.2,78.2,0
Fri,8/19/2022,91.4,91.8,87,88.2,0
Thu,8/18/2022,91.6,92.2,89.6,92,0
Wed,8/17/2022,91.6,92.4,89.2,91.6,0
Tue,8/16/2022,92,92.4,90.4,92,0
Mon,8/15/2022,89.2,91.4,88.6,91,0
Fri,8/12/2022,88.4,92.4,87.6,92.4,0
Thu,8/11/2022,86.6,89.6,85.2,86,0
Wed,8/10/2022,79.8,83.6,79.8,82.4,0
Tue,8/9/2022,75.2,76.2,70.6,72.8,0
Mon,8/8/2022,76.6,80.4,73.6,74.8,0
Fri,8/5/2022,68.8,73.6,68.8,73,0
Thu,8/4/2022,74,74.8,71.8,72.4,0
Wed,8/3/2022,73.6,76.6,70.8,75.4,0
Tue,8/2/2022,75.8,78.4,71.4,71.8,0
Mon,8/1/2022,75.8,77.8,73.8,76.4,0
Fri,7/29/2022,74.8,77.4,74.2,77,0
Thu,7/28/2022,71,75.8,63.4,74.4,0
Wed,7/27/2022,58.2,70.6,54.4,67.8,0
Tue,7/26/2022,56.4,57.6,52.2,54.4,0
Mon,7/25/2022,57.6,61.2,53.8,60.4,0
Fri,7/22/2022,61.8,62.4,51.8,56.2,0
Thu,7/21/2022,50.4,57.2,48.4,57,0
Wed,7/20/2022,46.8,52.4,44,50,0
Tue,7/19/2022,33.2,46.6,31.8,45.6,0
Mon,7/18/2022,33,33.8,21.2,22.4,0
Fri,7/15/2022,23.6,28.6,21.4,28.6,0
Thu,7/14/2022,15.4,19.2,13.2,19,0
Wed,7/13/2022,16.2,24.2,16,19.8,0
Tue,7/12/2022,26.6,29.2,20,21.2,0
Mon,7/11/2022,27.2,29,24.4,26.4,0
Fri,7/8/2022,29.4,31.4,26.4,28.4,0
Thu,7/7/2022,27.6,30.8,27.6,29,0
Wed,7/6/2022,24.8,29,22.4,26.8,0
Tue,7/5/2022,20.8,22.6,12.4,22.6,0
Fri,7/1/2022,15.4,24.8,14.8,24.2,0
Thu,6/30/2022,12.8,17.4,7.2,15,0
Wed,6/29/2022,15.6,15.8,12.8,15,0
Tue,6/28/2022,24.4,26.8,14.6,14.8,0
Mon,6/27/2022,23.2,23.8,19.4,22,0
Fri,6/24/2022,15,22.6,13,22.4,0
Thu,6/23/2022,7.4,11,7,10.8,0
Wed,6/22/2022,4.4,7.6,4.2,5.8,0
Tue,6/21/2022,3.6,6.2,3,5.2,0
Fri,6/17/2022,2.2,3,0.8,2,0
Thu,6/16/2022,3.4,3.8,1.4,2,0
Wed,6/15/2022,6,8,4.2,6,0
Tue,6/14/2022,4.8096,4.8096,4.8096,4.8096,0
Mon,6/13/2022,4.6,7.8,4.4,4.6,0
Fri,6/10/2022,24.2,24.2,11.8,12.2,0
Thu,6/9/2022,24.249,24.249,24.249,24.249,0
Wed,6/8/2022,38.277,38.277,38.277,38.277,0
Tue,6/7/2022,48.497,48.497,48.497,48.497,0
Mon,6/6/2022,41.283,41.283,41.283,41.283,0
Fri,6/3/2022,37.275,37.275,37.275,37.275,0
Thu,6/2/2022,44.689,44.689,44.689,44.689,0
Wed,6/1/2022,33.467,33.467,33.467,33.467,0
Tue,5/31/2022,39.88,39.88,39.88,39.88,0
Fri,5/27/2022,46.493,46.493,46.493,46.493,0
Thu,5/26/2022,32.064,32.064,32.064,32.064,0
Wed,5/25/2022,24.249,24.249,24.249,24.249,0
Tue,5/24/2022,21.443,21.443,21.443,21.443,0
Mon,5/23/2022,19.439,19.439,19.439,19.439,0
Fri,5/20/2022,14.229,14.229,14.229,14.229,0
Thu,5/19/2022,14.629,14.629,14.629,14.629,0
Wed,5/18/2022,16.633,16.633,16.633,16.633,0
Tue,5/17/2022,32.264,32.264,32.264,32.264,0
Mon,5/16/2022,22.445,22.445,22.445,22.445,0
Fri,5/13/2022,21.643,21.643,21.643,21.643,0
Thu,5/12/2022,16.834,16.834,16.834,16.834,0
Wed,5/11/2022,15.231,15.231,15.231,15.231,0
Tue,5/10/2022,18.437,18.437,18.437,18.437,0
