Day,Date,Open,High,Low,Close,Volume
Thu,3/2/2023,65.27,68.29,65.1,67.82,16284021
Wed,3/1/2023,66.68,67.35,65.65,66.42,19908738
Tue,2/28/2023,67.65,68.67,67.08,67.13,13498059
Mon,2/27/2023,69.02,69.72,67.42,67.87,12635070
Fri,2/24/2023,66.73,67.71,65.82,67.23,19089680
Thu,2/23/2023,69.99,70.32,67.25,69.49,15793728
Wed,2/22/2023,68.98,69.82,67.71,68.5,22711328
Tue,2/21/2023,70.92,71.5,68.63,68.78,15302815
Fri,2/17/2023,72.62,73.34,71.46,73.2,11919360
Thu,2/16/2023,74.13,76.42,73.75,73.85,16007684
Wed,2/15/2023,75.07,77.13,74.58,77.06,14495631
Tue,2/14/2023,75.56,77.68,74.04,76.34,18701878
Mon,2/13/2023,74.26,76.54,73.97,76.45,10826632
Fri,2/10/2023,72.72,74.11,72.26,73.86,10542274
Thu,2/9/2023,77.49,77.56,72.71,73.46,13053917
Wed,2/8/2023,76.85,77.63,75.05,75.5,14326271
Tue,2/7/2023,74.54,78.73,73.83,78,15932886
Mon,2/6/2023,75.04,75.9,74.12,75.15,9206881
Fri,2/3/2023,76.13,79.17,75.8,76.53,13377019
Thu,2/2/2023,77.99,79.92,76.92,79.03,16604037
Wed,2/1/2023,72.8,77.39,71.23,75.82,17770058
Tue,1/31/2023,70.66,73.49,70.46,73.45,10903982
Mon,1/30/2023,71.59,72.86,70.24,70.42,11013739
Fri,1/27/2023,72.09,74.51,71.97,73.14,13196426
Thu,1/26/2023,71.86,72.79,70.24,72.65,13947153
Wed,1/25/2023,68.1,70.63,66.86,70.47,16059083
Tue,1/24/2023,69.71,70.88,69.02,70.37,9482568
Mon,1/23/2023,68.58,71.66,68.08,70.59,11032844
Fri,1/20/2023,65.33,68.26,64.44,68.13,9568907
Thu,1/19/2023,64.96,65.85,63.92,64.67,14128534
Wed,1/18/2023,70.04,70.63,66.02,66.12,16847426
Tue,1/17/2023,69.8,70.69,69.03,69.42,9122730
Fri,1/13/2023,67.26,70.11,67.12,69.78,11261979
Thu,1/12/2023,68.91,69.86,66.73,69.06,18861880
Wed,1/11/2023,66.71,68.42,66.28,68.38,12485939
Tue,1/10/2023,64.21,65.92,63.72,65.88,11130709
Mon,1/9/2023,65.8,67.45,64.44,64.56,11816474
Fri,1/6/2023,62.05,65.22,60.53,64.64,18489852
Thu,1/5/2023,61.69,61.74,60.25,60.53,15679656
Wed,1/4/2023,62.44,63.75,60.9,62.71,17139344
Tue,1/3/2023,63.03,64.04,59.88,61.36,18047068
Fri,12/30/2022,61.23,62.15,60.16,62.11,11174388
Thu,12/29/2022,60.87,63.1,60.62,62.61,12007039
Wed,12/28/2022,61.77,62.76,59.42,59.53,14031156
Tue,12/27/2022,62.5,62.67,60.95,61.82,9213481
Fri,12/23/2022,61.02,62.63,60.2,62.53,12904241
Thu,12/22/2022,62.72,62.89,58.61,61.6,22328088
Wed,12/21/2022,62.92,64.93,62.62,64.36,15715806
Tue,12/20/2022,60.97,62.42,60.32,61.61,14690776
Mon,12/19/2022,63.11,63.24,60.52,61.4,12187628
Fri,12/16/2022,63.98,64.66,61.88,62.97,16228625
Thu,12/15/2022,67.85,68.33,64.43,65.36,17723468
Wed,12/14/2022,71.76,73.96,68.91,70.6,17045972
Tue,12/13/2022,76.42,76.48,70.46,71.95,22719162
Mon,12/12/2022,67.89,70.4,67.54,70.36,8357036
Fri,12/9/2022,68.36,69.76,67.44,67.52,10702557
Thu,12/8/2022,68.51,69.66,67.65,69.09,16623523
Wed,12/7/2022,67.39,68.81,66.92,67.49,16534737
Tue,12/6/2022,70.87,71.19,66.73,67.93,14196175
Mon,12/5/2022,73.45,73.97,70.21,71.01,12590465
Fri,12/2/2022,72.44,75.59,72.41,75.04,13737815
Thu,12/1/2022,76.22,76.87,73.91,75.4,13808420
Wed,11/30/2022,69.17,75.52,68.12,75.44,15621654
Tue,11/29/2022,69.48,70.14,68.04,69.07,10463097
Mon,11/28/2022,71.15,72.09,68.99,69.46,9546640
Fri,11/25/2022,72.68,73.26,72.52,72.93,3998702
Wed,11/23/2022,71.5,73.3,71.37,72.98,12898449
Tue,11/22/2022,69.92,71.82,69.21,71.74,11051591
Mon,11/21/2022,69,69.59,67.9,68.95,8506321
Fri,11/18/2022,70.64,70.67,68.15,69.78,12036231
Thu,11/17/2022,66.84,69.2,66.67,68.82,13439753
Wed,11/16/2022,70.26,70.74,69.15,69.56,13807279
Tue,11/15/2022,72.51,73.15,69.04,71.16,18670976
Mon,11/14/2022,70.21,72.1,69.24,69.4,11744198
Fri,11/11/2022,69.7,71.68,68.63,71.25,16821416
Thu,11/10/2022,66.07,69.4,64.93,69.2,18505500
Wed,11/9/2022,62.31,62.94,59.19,59.48,14672738
Tue,11/8/2022,62.95,64.93,61.29,63.41,17147356
Mon,11/7/2022,61.31,62.69,60.27,62.39,10828485
Fri,11/4/2022,60.98,61.86,57.67,60.65,20672196
Thu,11/3/2022,58.43,59.71,57.12,58.16,15520419
Wed,11/2/2022,64.65,67.07,60.03,60.1,20998996
Tue,11/1/2022,67.85,67.97,64.37,65.01,13038812
Mon,10/31/2022,65.97,67.01,65.36,65.87,13955690
Fri,10/28/2022,62.79,67.58,62.71,67.32,16650755
Thu,10/27/2022,64.45,65.42,62.56,62.88,14131059
Wed,10/26/2022,63.75,66.79,63.59,63.95,19588436
Tue,10/25/2022,62.4,65.6,62.37,65.45,18690582
Mon,10/24/2022,61,63.03,59.65,62.44,19604956
Fri,10/21/2022,56.05,60.49,55.3,60.22,20020888
Thu,10/20/2022,57.4,59.58,55.79,56.21,15344008
Wed,10/19/2022,57.86,59.25,56.25,57.71,16516115
Tue,10/18/2022,60.8,60.92,57.24,58.87,25446856
Mon,10/17/2022,55.71,57.43,55.67,56.89,13452051
Fri,10/14/2022,57.94,58.74,52.57,52.87,18852476
Thu,10/13/2022,49.39,57.45,48.87,56.74,25530152
Wed,10/12/2022,53.36,54.08,52.52,52.66,12690738
Tue,10/11/2022,53.41,55.55,52.24,53.17,18259752
Mon,10/10/2022,56.03,56.14,53.13,54.31,16014971
