Day,Date,Open,High,Low,Close,Volume
Thu,3/2/2023,392.68,398.69,392.33,397.81,85404352
Wed,3/1/2023,395.41,396.69,393.38,394.74,99705272
Tue,2/28/2023,397.23,399.28,396.15,396.26,96437824
Mon,2/27/2023,399.87,401.29,396.75,397.73,80444712
Fri,2/24/2023,395.42,397.25,393.64,396.38,108193432
Thu,2/23/2023,401.56,402.2,396.25,400.66,96242000
Wed,2/22/2023,399.52,401.13,397.02,398.54,83741344
Tue,2/21/2023,403.06,404.16,398.82,399.09,82653584
Fri,2/17/2023,406.06,407.51,404.05,407.26,89257168
Thu,2/16/2023,408.79,412.91,408.14,408.28,76431064
Wed,2/15/2023,410.35,414.06,409.47,413.98,61683576
Tue,2/14/2023,411.24,415.05,408.51,412.64,88385224
Mon,2/13/2023,408.72,412.97,408.24,412.83,64912628
Fri,2/10/2023,405.86,408.44,405.01,408.04,70769192
Thu,2/9/2023,414.41,414.57,405.81,407.09,78694456
Wed,2/8/2023,413.13,414.53,409.93,410.65,76227304
Tue,2/7/2023,408.87,416.49,407.57,415.19,90990408
Mon,2/6/2023,409.79,411.29,408.1,409.83,60295004
Fri,2/3/2023,411.59,416.97,411.09,412.35,94735888
Thu,2/2/2023,414.86,418.31,412.88,416.78,101644304
Wed,2/1/2023,405.21,413.67,402.35,410.8,101459040
Tue,1/31/2023,401.13,406.53,400.77,406.48,86804416
Mon,1/30/2023,402.8,405.13,400.28,400.59,74201320
Fri,1/27/2023,403.65,408.16,403.44,405.68,68345712
Thu,1/26/2023,403.13,404.92,400.03,404.75,72287016
Wed,1/25/2023,395.95,400.7,393.56,400.35,84799464
Tue,1/24/2023,398.88,401.15,397.64,400.2,59519828
Mon,1/23/2023,396.72,402.64,395.72,400.63,84178776
Fri,1/20/2023,390.1,396.04,388.38,395.88,91804184
Thu,1/19/2023,389.36,391.08,387.26,388.64,86958016
Wed,1/18/2023,399.01,400.12,391.28,391.49,99630800
Tue,1/17/2023,398.48,400.23,397.06,397.77,62677240
Fri,1/13/2023,393.62,399.1,393.34,398.5,63903560
Thu,1/12/2023,396.67,398.48,392.42,396.96,90157464
Wed,1/11/2023,392.23,395.6,391.38,395.52,68881056
Tue,1/10/2023,387.25,390.65,386.27,390.58,65356592
Mon,1/9/2023,390.37,393.7,387.67,387.86,73976968
Fri,1/6/2023,382.61,389.25,379.45,388.08,104187080
Thu,1/5/2023,381.72,381.84,378.76,379.38,76969928
Wed,1/4/2023,383.18,385.88,380,383.76,85933176
Tue,1/3/2023,384.37,386.43,377.83,380.82,74849648
Fri,12/30/2022,380.64,382.58,378.43,382.43,84021680
Thu,12/29/2022,379.63,384.35,379.08,383.44,66970676
Wed,12/28/2022,381.33,383.39,376.42,376.66,70911336
Tue,12/27/2022,382.79,383.15,379.65,381.4,51638104
Fri,12/23/2022,379.65,383.06,378.03,382.91,59857224
Thu,12/22/2022,383.05,386.21,374.77,380.72,100119904
Wed,12/21/2022,383.25,387.41,382.69,386.23,78160560
Tue,12/20/2022,379.23,382.23,377.85,380.54,74426976
Mon,12/19/2022,383.47,383.82,378.28,380.02,79878000
Fri,12/16/2022,385.18,386.58,381.04,383.27,119852040
Thu,12/15/2022,392.5,393.44,386.11,387.85,118241136
Wed,12/14/2022,399.77,403.65,394.5,397.57,108606848
Tue,12/13/2022,408.34,408.61,397.25,400.13,124350968
Mon,12/12/2022,392.31,397.13,391.61,397.13,75752128
Fri,12/9/2022,393.13,395.8,391.35,391.48,81818064
Thu,12/8/2022,393.33,395.54,391.47,394.43,61016192
Wed,12/7/2022,391.14,393.83,390.18,391.36,66225936
Tue,12/6/2022,397.59,398.16,389.85,392.03,78329888
Mon,12/5/2022,402.1,403.08,396.35,397.76,77642240
Fri,12/2/2022,400.41,406,400.3,405.05,85734456
Thu,12/1/2022,406.9,408.13,402.9,405.52,76748864
Wed,11/30/2022,393.68,405.82,391.68,405.82,145215152
Tue,11/29/2022,394.24,395.48,391.5,393.42,52549184
Mon,11/28/2022,397.27,398.98,393.3,394.1,68333040
Fri,11/25/2022,399.99,401.07,399.7,400.49,30685730
Wed,11/23/2022,397.72,401.09,397.48,400.58,68574752
Tue,11/22/2022,394.82,398.24,393.35,398.07,60706004
Mon,11/21/2022,392.84,394.01,390.86,392.79,51478360
Fri,11/18/2022,395.92,395.99,391.24,394.22,93348336
Thu,11/17/2022,388.67,393.14,388.36,392.44,74837608
Wed,11/16/2022,394.97,395.96,392.98,393.64,68822096
Tue,11/15/2022,399.32,400.47,392.69,396.67,93612136
Mon,11/14/2022,394.85,398.35,393.02,393.31,72222488
Fri,11/11/2022,393.78,397.52,391.81,396.69,94270680
Thu,11/10/2022,386.28,393.23,383.88,392.89,142105168
Wed,11/9/2022,378.19,379.4,371.9,372.42,78855952
Tue,11/8/2022,379.37,383.36,375.99,380.25,85028288
Mon,11/7/2022,375.98,378.83,373.81,378.21,68600448
Fri,11/4/2022,375.28,377.14,368.31,374.63,103978320
Thu,11/3/2022,369.77,372.49,367.1,369.31,87498000
Wed,11/2/2022,382.14,386.85,373.05,373.16,127569768
Tue,11/1/2022,388.36,388.61,381.54,382.76,85799016
Mon,10/31/2022,384.67,386.62,383.5,384.44,97069424
Fri,10/28/2022,378.13,387.74,377.94,387.24,100761240
Thu,10/27/2022,381.32,383.24,377.6,378.24,82347928
Wed,10/26/2022,379.88,385.81,379.61,380.27,104564944
Tue,10/25/2022,377.06,383.49,376.94,383.16,79208080
Mon,10/24/2022,374.17,378.32,371.4,377.14,85829240
Fri,10/21/2022,363.45,373.09,361.88,372.58,131639728
Thu,10/20/2022,366.35,370.97,362.94,363.74,88688408
Wed,10/19/2022,367.3,370.15,363.88,366.82,80112512
Tue,10/18/2022,373.41,373.73,365.84,369.43,97607472
Mon,10/17/2022,362.35,366.3,355.65,365.14,93594776
Fri,10/14/2022,366.86,368.57,355.33,355.99,124304824
Thu,10/13/2022,347.61,365.83,346.52,364.3,147928848
Wed,10/12/2022,356.53,358.17,354.67,354.93,77343704
Tue,10/11/2022,356.6,361.37,354.08,356.1,92904520
Mon,10/10/2022,362.3,362.54,356.03,358.37,76391064
Fri,10/7/2022,367.28,371.59,359.29,361.13,108284192
Thu,10/6/2022,373.9,376.99,370.98,371.49,82711568
Wed,10/5/2022,371.68,377.73,369.25,375.37,88469296
Tue,10/4/2022,370.7,376.27,364.89,376.24,104077576
Mon,10/3/2022,359.43,366.86,357.57,364.93,90168344
Fri,9/30/2022,360.15,364.24,355.41,355.55,154416512
Thu,9/29/2022,365.13,365.43,358.06,361.13,113470656
Wed,9/28/2022,362.71,370.6,360.94,368.84,111310960
Tue,9/27/2022,366.34,368.71,359.22,361.72,108790456
Mon,9/26/2022,364.73,368.52,361.37,362.64,93004160
Fri,9/23/2022,368.89,368.93,361.63,366.27,122908360
Thu,9/22/2022,374.86,375.93,371.73,372.51,89875520
Wed,9/21/2022,384.34,387.53,375.65,375.66,107235584
Tue,9/20/2022,383.3,384.35,379.45,382.33,77629392
Mon,9/19/2022,380.51,386.77,380.43,386.77,73614632
Fri,9/16/2022,382.38,384.48,380.36,383.8,103555008
Thu,9/15/2022,389.56,392.54,385.42,386.75,88396448
Wed,9/14/2022,391.06,392.77,387.74,391.19,85763888
