Day,Date,Open,High,Low,Close,Volume
Thu,3/2/2023,71.51,72.62,71.44,72.48,9876126
Wed,3/1/2023,71.81,71.89,70.93,71.5,10475020
Tue,2/28/2023,72.33,72.46,72,72.03,9757334
Mon,2/27/2023,73.06,73.25,72.47,72.63,10162251
Fri,2/24/2023,72.66,72.82,72.27,72.71,11340619
Thu,2/23/2023,73.36,73.56,72.75,73.2,12700140
Wed,2/22/2023,73.5,74.01,73.11,73.29,8851001
Tue,2/21/2023,73.38,73.79,73.01,73.4,8974751
Fri,2/17/2023,72.53,73.71,72.53,73.68,11116125
Thu,2/16/2023,72.62,73.18,72.31,72.74,8355096
Wed,2/15/2023,72.98,73.29,72.68,73.27,9006025
Tue,2/14/2023,73.75,73.78,72.88,73.13,9344740
Mon,2/13/2023,73.19,73.83,73.15,73.8,7440344
Fri,2/10/2023,72.3,73.03,72.14,72.97,8197111
Thu,2/9/2023,73,73.26,72.21,72.3,8341482
Wed,2/8/2023,72.78,72.91,72.49,72.62,8933483
Tue,2/7/2023,72.96,73.32,72.45,73.18,9268430
Mon,2/6/2023,73.28,73.63,73.23,73.49,7209101
Fri,2/3/2023,73.91,73.93,72.86,73.4,12874814
Thu,2/2/2023,73.83,74.17,73.36,73.69,12238803
Wed,2/1/2023,73.68,74.66,73.36,74.33,15447622
Tue,1/31/2023,73.09,73.75,72.87,73.74,8002698
Mon,1/30/2023,72.71,73.5,72.71,72.95,10463129
Fri,1/27/2023,73.02,73.19,72.5,72.86,10341793
Thu,1/26/2023,73.25,73.31,72.83,73.07,8081676
Wed,1/25/2023,72.71,73.33,72.35,73.33,11606776
Tue,1/24/2023,72.83,73.35,72.4,73.15,13465588
Mon,1/23/2023,72.76,73.22,72.54,72.85,12000433
Fri,1/20/2023,72.11,72.65,71.6,72.62,12349611
Thu,1/19/2023,72.46,72.79,72.04,72.06,12421475
Wed,1/18/2023,74.61,74.66,72.64,72.75,16069923
Tue,1/17/2023,74.86,75.42,74.68,74.79,9007022
Fri,1/13/2023,74.19,74.76,74.14,74.74,9274343
Thu,1/12/2023,75.14,75.15,74.21,74.39,9841291
Wed,1/11/2023,75.19,75.4,74.32,74.98,9848317
Tue,1/10/2023,75.13,75.25,74.69,74.94,8427855
Mon,1/9/2023,75.73,76.25,75.04,75.04,11081840
Fri,1/6/2023,74.76,76.07,74.7,75.78,9982384
Thu,1/5/2023,74.42,74.49,73.66,73.81,9848196
Wed,1/4/2023,74.48,75.02,74.09,74.56,12197256
Tue,1/3/2023,74.59,74.62,73.52,74.27,14433360
Fri,12/30/2022,74.77,74.83,74.01,74.55,6249894
Thu,12/29/2022,74.9,75.19,74.78,74.92,5574893
Wed,12/28/2022,75.76,75.86,74.6,74.6,5028990
Tue,12/27/2022,75.28,75.69,75.12,75.54,4839729
Fri,12/23/2022,74.83,75.23,74.58,75.18,4874660
Thu,12/22/2022,74.69,74.82,73.96,74.79,6888351
Wed,12/21/2022,74.58,75.25,74.53,74.96,7953290
Tue,12/20/2022,74.15,74.51,73.81,74.22,7368975
Mon,12/19/2022,74.31,74.93,73.84,74.28,8093914
Fri,12/16/2022,74.31,74.57,73.68,74.33,14665896
Thu,12/15/2022,75.35,75.5,74.13,74.69,11362579
Wed,12/14/2022,76.15,76.72,75.54,75.99,13919345
Tue,12/13/2022,76.9,77.07,75.56,76.03,11430519
Mon,12/12/2022,75.49,76.15,75.25,76.14,7047007
Fri,12/9/2022,75.57,75.9,75.34,75.35,9831719
Thu,12/8/2022,75.41,75.94,75.31,75.94,7859341
Wed,12/7/2022,75.35,75.69,75.21,75.53,7351024
Tue,12/6/2022,75.76,76.04,74.84,75.21,8194675
Mon,12/5/2022,75.82,75.91,75.46,75.68,8694927
Fri,12/2/2022,75.74,76.74,75.65,76.64,6130830
Thu,12/1/2022,76.5,76.59,75.98,76.29,10289092
Wed,11/30/2022,75.08,76.66,74.69,76.64,11788169
Tue,11/29/2022,75.22,75.38,74.74,75.13,7810735
Mon,11/28/2022,75.43,75.84,75.31,75.42,8761187
Fri,11/25/2022,75.76,75.76,75.56,75.71,2999379
Wed,11/23/2022,75.46,75.81,75.36,75.66,6331499
Tue,11/22/2022,75.41,75.47,75.12,75.4,6352323
Mon,11/21/2022,74.29,74.96,74.13,74.85,8112693
Fri,11/18/2022,73.96,74.24,73.65,74.15,9136098
Thu,11/17/2022,72.74,73.4,72.74,73.36,7883356
Wed,11/16/2022,73.13,73.75,73.09,73.38,9818502
Tue,11/15/2022,73.33,73.57,72.43,73.03,15172331
Mon,11/14/2022,72.93,73.59,72.38,72.42,14866384
Fri,11/11/2022,73.28,73.35,71.85,73,14391981
Thu,11/10/2022,72.93,73.26,71.86,73.08,19424404
Wed,11/9/2022,72,72.45,71.34,71.4,9533114
Tue,11/8/2022,72.19,72.63,71.44,72.18,9157141
Mon,11/7/2022,71.49,72.1,71.35,71.97,7184759
Fri,11/4/2022,71.35,71.74,70.4,71.34,12024233
Thu,11/3/2022,70.15,70.83,69.98,70.5,10700644
Wed,11/2/2022,71.84,72.56,70.7,70.74,16410343
Tue,11/1/2022,72.4,72.75,71.74,71.99,9603621
Mon,10/31/2022,72.44,72.66,72.03,72.22,9267101
Fri,10/28/2022,71.22,72.78,71.19,72.65,9613924
Thu,10/27/2022,71.1,71.56,70.98,71.09,10059792
Wed,10/26/2022,70.72,71.54,70.5,71.03,9551729
Tue,10/25/2022,69.81,70.65,69.41,70.56,10695944
Mon,10/24/2022,68.91,69.79,68.76,69.65,11155652
Fri,10/21/2022,67.35,68.59,67.13,68.42,9682325
Thu,10/20/2022,68.37,68.52,67.33,67.39,10095055
Wed,10/19/2022,68.76,69.12,68.06,68.34,9049919
Tue,10/18/2022,68.79,69.12,68.25,68.66,11079636
Mon,10/17/2022,67.75,68.11,67.62,67.77,9170663
Fri,10/14/2022,68.69,68.77,66.94,67.05,11695168
Thu,10/13/2022,66.52,68.53,66.22,68.28,18608124
Wed,10/12/2022,67.47,67.93,67.16,67.17,11042002
Tue,10/11/2022,66.3,67.42,66.2,66.81,10860931
Mon,10/10/2022,66.15,66.54,65.7,66.26,11883610
Fri,10/7/2022,66.9,66.98,65.77,66.03,13840189
Thu,10/6/2022,68,68.12,66.88,67.03,10683044
Wed,10/5/2022,68.06,68.38,67.31,68.02,10672096
Tue,10/4/2022,67.8,68.77,67.79,68.42,13462209
Mon,10/3/2022,66.73,67.57,66.36,67.4,12794402
Fri,9/30/2022,67.6,67.7,66.21,66.25,13523697
Thu,9/29/2022,68.4,68.54,67.01,67.43,13605107
Wed,9/28/2022,68.05,68.89,67.46,68.56,14361457
Tue,9/27/2022,69.27,69.65,67.61,67.74,17282332
Mon,9/26/2022,68.74,69.53,68.61,68.94,11721433
Fri,9/23/2022,69.69,69.69,68.17,68.89,16023586
Thu,9/22/2022,70.24,70.55,69.95,70.08,10503231
Wed,9/21/2022,70.87,71.57,70.14,70.18,14291457
Tue,9/20/2022,70.37,70.6,69.9,70.44,9235701
Mon,9/19/2022,70.1,70.88,70.1,70.83,9437625
Fri,9/16/2022,69.95,70.44,69.94,70.36,13637091
Thu,9/15/2022,70.75,70.82,70.01,70.2,11388808
Wed,9/14/2022,71.04,71.12,70.37,70.79,12460090
Tue,9/13/2022,72.65,72.75,70.62,70.82,13118281
Mon,9/12/2022,73.04,73.51,72.94,73.27,8799069
Fri,9/9/2022,72.46,73.47,72.19,72.98,18387776
Thu,9/8/2022,72.1,72.54,71.42,72.27,15047504
Wed,9/7/2022,71.4,72.54,71.34,72.46,19901522
Tue,9/6/2022,71.62,72.19,71.08,71.17,22171780
Fri,9/2/2022,73.08,73.36,71.35,71.58,16064084
Thu,9/1/2022,71.87,72.68,71.6,72.53,16187232
Wed,8/31/2022,72.79,72.92,72.12,72.12,10540425
Tue,8/30/2022,73.46,73.46,72.38,72.56,10458170
Mon,8/29/2022,73.01,73.73,72.82,73.32,13395492
Fri,8/26/2022,75.35,75.44,73.35,73.44,11366327
Thu,8/25/2022,74.99,75.31,74.64,75.31,6188863
Wed,8/24/2022,74.9,75.12,74.65,74.96,8172429
Tue,8/23/2022,74.82,74.88,74.45,74.77,10323151
Mon,8/22/2022,75.64,75.66,74.97,75.1,7211235
Fri,8/19/2022,75.88,76.23,75.73,75.87,6545038
Thu,8/18/2022,75.74,76.22,75.66,76.12,5856906
Wed,8/17/2022,75.76,76.16,75.67,75.86,9800312
Tue,8/16/2022,75.5,76.35,75.45,76.08,12481456
Mon,8/15/2022,74.45,75.31,74.33,75.23,10347216
Fri,8/12/2022,74.07,74.49,73.79,74.49,11246777
Thu,8/11/2022,74.34,74.57,73.68,73.85,9082538
Wed,8/10/2022,74.18,74.25,73.77,74.02,11416721
Tue,8/9/2022,73.7,73.81,73.34,73.48,8197184
Mon,8/8/2022,73.92,74.14,73.41,73.59,7061613
Fri,8/5/2022,73.43,73.68,72.94,73.63,7223455
Thu,8/4/2022,74.12,74.33,73.5,73.8,12147105
Wed,8/3/2022,73.83,74.44,73.52,74.29,12984245
Tue,8/2/2022,74.35,74.49,73.7,73.81,10778577
Mon,8/1/2022,73.38,74.64,73.35,74.4,13330885
Fri,7/29/2022,73.21,73.6,73.01,73.48,13380091
Thu,7/28/2022,72.94,74.21,72.81,74.05,9500543
Wed,7/27/2022,72.26,73.1,71.71,72.89,11146367
Tue,7/26/2022,71.9,72.5,71.66,72.4,9898155
Mon,7/25/2022,72.3,72.73,72.15,72.56,8269357
Fri,7/22/2022,71.89,72.41,71.79,72.21,9498319
Thu,7/21/2022,71.38,71.9,71.17,71.74,12108623
Wed,7/20/2022,72.08,72.15,71.15,71.52,10372497
Tue,7/19/2022,71.84,72.14,71.64,72,8848803
Mon,7/18/2022,72.08,72.2,71.12,71.25,8589796
Fri,7/15/2022,72.19,72.42,71.66,71.95,9427858
Thu,7/14/2022,70.74,71.82,70.72,71.72,10949884
Wed,7/13/2022,71.19,72.29,71.02,71.66,14041583
Tue,7/12/2022,71.91,72.55,71.35,71.61,11183601
